length,mse_mean,stderr
1.0,333.919921875,0.000017619331945484184
2.0,314.6820983886719,19.23783365885551
3.0,149.18666076660156,0
4.0,126.46988296508789,22.25436019897461
5.0,48.41507911682129,0.4068139394134285
6.0,44.87966537475586,0
7.0,40.29359579086304,4.230291852642353
8.0,15.112340688705444,0.6210402543611365
9.0,11.196592092514038,0.20393549433903485
10.0,10.214010953903198,0.7202512157857782
11.0,6.884015738964081,1.5612000814679785
12.0,6.425800681114197,0.8890250634847843
13.0,3.4809022545814514,0.7559750870379953
14.0,3.443916380405426,0.8202865279683459
15.0,2.69297593832016,0.18626165773925
16.0,2.422478437423706,0.10301279347954315
17.0,2.1591059267520905,0.08359728089293636
18.0,1.997983694076538,0.24014535402455484
19.0,1.7056361734867096,0.0986355629362383
20.0,1.5951780378818512,0.13521616009641604
21.0,1.5369211435317993,0.1580519563096487
22.0,1.2904185950756073,0.16064174916929239
23.0,1.53328475356102,0.1771893594040363
24.0,1.1164043694734573,0.12052020572261934
25.0,1.4607591480016708,0.20545127063569985
26.0,0.9612696915864944,0.08327201304692534
27.0,0.9803276807069778,0.03493104355751577
28.0,0.8738652318716049,0.09989380878374086
29.0,0.7373260855674744,0.034499203705216586
30.0,0.6933495104312897,0.09066755821311986
31.0,0.6415319889783859,0.03993487585062555
32.0,0.5924873426556587,0.07349778239109005
33.0,0.7975981831550598,0.18011198282778534
34.0,0.49940499663352966,0.050940409143290934
35.0,0.5145390033721924,0.0521173215052633
36.0,0.4742272272706032,0.04815816250233908
37.0,0.44672437757253647,0.03682670826845138
38.0,0.4759485572576523,0.0614478161195704
39.0,0.41503457725048065,0.03141257092272281
40.0,0.47638293355703354,0.0641788394275484
41.0,0.4012834206223488,0.026759608928870766
42.0,0.5264135748147964,0.07146746300286498
43.0,0.3787744641304016,0.028576513278912502
44.0,0.4238910526037216,0.043086823643498466
45.0,0.3785437345504761,0.043647006809531985
46.0,0.3615615591406822,0.03373354600395582
47.0,0.34874433279037476,0.027188760425538194
48.0,0.3293822556734085,0.005803995564729101
49.0,0.30648817121982574,0.021731237386483596
50.0,0.3532167300581932,0.049365537542070015
51.0,0.2900439128279686,0.02194782568292642
52.0,0.3284936472773552,0.03373856108315917
53.0,0.28280769661068916,0.020582595596737682
54.0,0.27546796202659607,0.02789492400466576
55.0,0.27628926560282707,0.014245135113253619
56.0,0.26152467355132103,0.0190006013488229
57.0,0.2978625036776066,0.03064735389256286
58.0,0.2740427292883396,0.031001678211615445
59.0,0.24892937019467354,0.017589083000387033
60.0,0.2321661412715912,0.012440126781694006
61.0,0.38623205572366714,0.14576685905420145
62.0,0.22397521883249283,0.008512327076486949
63.0,0.22975188866257668,0.020797189297751286
64.0,0.21647702902555466,0.011793810017979425
65.0,0.20626233145594597,0.0036883996926601304
66.0,0.20322827622294426,0.006990317643503973
67.0,0.24877408146858215,0.017775625192230478
68.0,0.2058415822684765,0.006787223448824193
69.0,0.20491056144237518,0.00834602677874003
70.0,0.1980085770289103,0.0060905804549114045
71.0,0.1977722868323326,0.006382962752215167
72.0,0.18653478473424911,0.007867303082384102
73.0,0.1904907003045082,0.0055691328295759445
74.0,0.18645332381129265,0.008726748823920966
75.0,0.1894400455057621,0.004976525607654575
76.0,0.1819840967655182,0.003420710405388379
77.0,0.19597629830241203,0.00835556788265131
78.0,0.17899799346923828,0.009069781106707135
79.0,0.18073196709156036,0.0060716239851832205
80.0,0.17145874723792076,0.0058907073075342535
81.0,0.17090089619159698,0.003602984084234149
82.0,0.17065825685858727,0.006474697750600958
83.0,0.1740933619439602,0.004179470468140391
84.0,0.20952129736542702,0.03996219428768312
85.0,0.16917099803686142,0.004737509394001009
86.0,0.1628378890454769,0.0037753303093703535
87.0,0.1561025120317936,0.005696240449501157
88.0,0.18328681960701942,0.02906435105861534
89.0,0.15607497096061707,0.0020245205056629192
90.0,0.1555258147418499,0.0018537764527464034
91.0,0.15138646587729454,0.004958686298727442
92.0,0.15286193042993546,0.007424298539156182
93.0,0.15026354417204857,0.003526305595966534
94.0,0.18449255327383676,0.02687858915460145
96.0,0.20267999544739723,0.04060240839061574
97.0,0.15809356172879538,0.013797586275267785
98.0,0.1559817592302958,0.002325984092868498
99.0,0.1670473963022232,0.009663933350334955
100.0,0.16010284051299095,0.008866174174811423
95.0,0.17868572473526,0.03672089960870507
