generation,mse,length,msetest,expr
100,282.11248779296875,1.0,738.551289305694,46.245849609375
12,282.11248779296875,2.0,738.5526847270717,exp(3.833974599838)
100,134.45535278320312,3.0,279.9452501746876,((8.664062500000 * X4) - (-54.634307861328))
100,45.43687438964844,5.0,76.24761971984752,(((9.603637695312 * X4) - (0.196821212769 * X1)) - (-138.882080078125))
100,41.94776153564453,6.0,67.6078332062231,(((13.908664703369 + ((-0.015354768373) * X1)) - ((-0.734515488148) * X4)) ^ 2)
41,41.9477653503418,7.0,67.60786625896351,(((0.015356203541 * X1) - (sqrt(193.466903686523) - ((-0.734534561634) * X4))) ^ 2)
100,22.49765968322754,8.0,42.19700116130785,(((0.013387368061 * X1) + ((((-5227.155761718750) * X2) / (sqrt(1 + ((-398.154571533203) * X2) ^ 2))) - (0.700776636600 * X4))) ^ 2)
100,13.62686824798584,9.0,32.91296435112101,(((((-0.002994342474) * X1) - ((((-1883.226440429688) * X2) / (sqrt(1 + ((-471.517089843750) * X2) ^ 2))) - (0.140158951283 * X4))) ^ 2) ^ 2)
100,9.878937721252441,10.0,18.33386140427334,(((((-0.015649337322) * X1) + (14.130406379700 + (0.743134856224 * X4))) ^ 2) / (sqrt(1 + ((-99.044677734375) / (8454.425781250000 * X2)) ^ 2)))
15,13.223620414733887,11.0,30.77220070189518,((((((-0.002531552222) * X1) - ((((-2060.572021484375) * X2) / (sqrt(1 + ((-484.295501708984) * X2) ^ 2))) - (0.118919290602 * X4))) ^ 2) - 2.685204267502) ^ 2)
100,4.637031555175781,12.0,5.3344678754882375,((((0.015625681728 * X1) + ((-14.143422126770) + ((-0.767211139202) * X4))) ^ 2) / (sqrt(1 + ((67.763381958008 - ((-40.353569030762) * X4)) / (sqrt(1 + (4771.056640625000 * X2) ^ 2))) ^ 2)))
93,5.7128119468688965,13.0,11.23262870382366,((((2.413468599319 - (0.002970627509 * X1)) + ((((194.637619018555 * X2) - (0.250965565443 * X4)) / (sqrt(1 + ((-123.365615844727) * X2) ^ 2))) + (0.156230360270 * X4))) ^ 2) ^ 2)
100,2.505753517150879,14.0,2.3265657965766096,(((((-0.015589323826) * X1) + (14.129254341125 - ((-0.774612486362) * X4))) / (sqrt(1 + ((312704.937500000000 / (sqrt(1 + ((-235936.500000000000) * X2) ^ 2))) / (sqrt(1 + (((-148.794158935547) * X4) - (-222.169815063477)) ^ 2))) ^ 2))) ^ 2)
100,2.4456379413604736,15.0,2.389768443536704,(((((0.002962583210 * X1) + (((-0.147600352764) * X4) + (-3.991976022720))) ^ 2) / (sqrt(1 + ((184838.812500000000 / (sqrt(1 + ((-405105.000000000000) * X2) ^ 2))) / (sqrt(1 + ((52.132362365723 * X4) - 76.804489135742) ^ 2))) ^ 2))) ^ 2)
100,1.8934648036956787,16.0,2.261722262539676,(((((-0.001227942645) * X1) - ((0.781259894371 * X4) + (62851.398437500000 / (sqrt(1 + (21.437278747559 * X1) ^ 2))))) / (sqrt(1 + (((-10188.613281250000) / (sqrt(1 + ((-12092.480468750000) * X2) ^ 2))) / (sqrt(1 + (140.374801635742 - (93.422134399414 * X4)) ^ 2))) ^ 2))) ^ 2)
100,1.8357927799224854,17.0,1.553153766481421,(((((((-0.002888979856) * X1) + (3.981659650803 + (0.145935133100 * X4))) ^ 2) / (sqrt(1 + (((-8785.125976562500) / (sqrt(1 + ((-35604.582031250000) * X2) ^ 2))) / (sqrt(1 + ((25.852161407471 * X4) + (-38.478244781494)) ^ 2))) ^ 2))) ^ 2) - (5.442465782166 * X2))
100,1.3818646669387817,18.0,1.8839392597892668,((((((-0.001473943470) * X1) - ((0.778134763241 * X4) + (62851.398437500000 / (sqrt(1 + (21.439270019531 * X1) ^ 2))))) / (sqrt(1 + (((-10188.613281250000) / (sqrt(1 + ((-12092.480468750000) * X2) ^ 2))) / (sqrt(1 + (130.994522094727 - (86.257118225098 * X4)) ^ 2))) ^ 2))) ^ 2) - (4.989995479584 * X2))
