length,cv_score,cv_stderr
1.0,372.68644705006426,105.51133034546741
2.0,329.5847804719093,87.09440956532046
3.0,179.41692538456857,26.002493287040693
4.0,172.65137923491486,25.961458659418813
5.0,51.46077342498035,8.85950809300286
6.0,45.87766140168107,7.496538691286999
7.0,45.75757951056381,7.4897448333757035
8.0,25.709020321987495,4.894042729143358
9.0,18.746232747040885,4.800862636675037
10.0,12.058750485639917,1.4226249907227715
11.0,13.594161486975382,3.7481690985586438
12.0,5.055199025245832,0.720581928838191
13.0,4.508814777102655,1.1060581286426336
14.0,2.9727457747508415,0.3441632588512638
15.0,3.1120203455644555,0.5942469169093172
16.0,2.9916902675382215,0.38313757299467166
17.0,2.5503180045643745,0.39237991609481365
18.0,2.3475884313516513,0.2939410228643353
19.0,2.1239207413033596,0.4536323767767305
20.0,1.7845791423282802,0.31916252535337475
21.0,1.8971679745251837,0.3673095131450378
22.0,1.3832612091085545,0.13670827777294386
23.0,1.8136489418470172,0.3680630339656427
24.0,1.477889269477517,0.3281283988519377
25.0,1.45274915395338,0.2716382285543059
26.0,1.2527309192487224,0.13227508675044988
27.0,1.1024953191565225,0.24516034372501616
28.0,1.027438092265008,0.22919745265064634
29.0,0.9631680233908594,0.14198344442733898
30.0,0.9768233746655824,0.16563777813017738
31.0,1.0437238527705055,0.16270370671957238
32.0,0.848102835933555,0.1348465378732229
33.0,0.7811139404116779,0.10308173053616632
34.0,0.7036993169146826,0.10657747611677898
35.0,0.8749245191071869,0.2478385846542845
36.0,0.7688756912729013,0.16398219495620264
37.0,0.7245273585275316,0.15510590204241578
38.0,0.6609739373097612,0.047018881350772965
40.0,0.7342585458880354,0.12068821880886707
41.0,0.7519008000486773,0.16586190939286005
42.0,0.7792079489062128,0.1792540324153025
44.0,0.6916330437453011,0.15229470308472812
45.0,0.6224267890535751,0.1305228302038083
46.0,0.5489800376206849,0.07871895323825963
47.0,0.569411762697397,0.08651128891091846
48.0,0.5382899328113143,0.09720003896390407
49.0,0.5290077967369627,0.08686541783347994
50.0,0.5954015531009024,0.09673173349962796
51.0,0.5275005273491385,0.05390558534491729
52.0,0.6100983977490281,0.14289963453649288
53.0,0.514853832831033,0.07907146273223824
54.0,0.4661342018330735,0.09451688657923897
55.0,0.4452983023054269,0.07115787474124159
56.0,0.38400244028047936,0.05472729562597711
57.0,0.3696417738130359,0.042276541835818596
58.0,0.43287135260787485,0.04317058321434059
59.0,0.37290482676322734,0.04324334966845337
60.0,0.4295436208040146,0.035972576139579215
61.0,0.3942829524747574,0.05319331554292247
62.0,0.3783569241704621,0.03127039667903205
63.0,0.38448490905750266,0.04639220296756384
64.0,0.31968410513776097,0.0450876489414516
65.0,0.454670153855537,0.09102801431281107
66.0,0.380681658971428,0.06430845515775369
67.0,0.40216891534342925,0.07017296464199686
68.0,0.4201501617690292,0.045320247459832465
69.0,0.4212487623158257,0.04425146952463811
70.0,0.3771049719584181,0.04869096766183157
71.0,0.42610306018703387,0.048969495592261755
72.0,0.38107856112524924,0.043815038933111033
73.0,0.41265860531220155,0.04358400015901543
74.0,0.42525058346315836,0.07739951121513919
75.0,0.3848784322545942,0.04095540261823442
76.0,0.38436512201827405,0.03576651453993412
77.0,0.40790841573084946,0.04504146013028662
78.0,0.42851238750362747,0.029638452496463998
79.0,0.4139326731873491,0.04934713584405785
81.0,0.44636246412368796,0.02320826566848163
82.0,0.4589027123581053,0.08300890155787426
83.0,0.37843891541966135,0.054209114309979906
84.0,0.39502858688404124,0.03708206749186061
85.0,0.3744227012825241,0.042735184797353734
86.0,0.3487720063434878,0.0653067740239448
87.0,0.37611983557241846,0.04084653130037674
88.0,0.3517599103152892,0.05307990595883758
89.0,0.37203455879423836,0.03417325324706821
90.0,0.38630573132610274,0.057701884448980556
91.0,0.36750286689902445,0.040641923217739774
92.0,0.3554681749252724,0.05697071149521808
93.0,0.3469286776683412,0.036097212459001916
94.0,0.3385027283778922,0.05633346402360269
95.0,0.36924655062800926,0.056524496971632754
96.0,0.33559370804874106,0.05550379284268251
97.0,0.35977066328672364,0.04896505484133721
98.0,0.3354872787676121,0.03939335668979544
99.0,0.3442169925703942,0.04033635719170245
100.0,0.3655104040623916,0.04037227104498664
39.0,0.7397228243841728,0.10629754800486971
43.0,0.7757827398305793,0.1964315999330065
80.0,0.44875381900754024,0.07776275054784099
