generation,mse,length,msetest,expr
100,25943.0,1.0,nan,418.982421875000
100,25942.99609375,2.0,nan,exp(6.037831306458)
100,15614.787109375,3.0,nan,(((-1.548809289932) * X1) - (-1642.025390625000))
100,12243.28515625,4.0,nan,((179423.750000000000 * X2) * exp(((-123.618972778320) * X2)))
100,11253.77734375,5.0,nan,((((-1.879131317139) * X1) + 1803.210693359375) - ((-12286.982421875000) * X2))
100,1299.917724609375,6.0,nan,((2064.326904296875 + ((-1.995457768440) * X1)) * tanh((346.714752197266 * X2)))
100,1153.5848388671875,7.0,nan,(tanh((344.460113525391 * X2)) * ((3.312661647797 * X1) - ((0.058198031038 * X1) ^ 2)))
100,651.9978637695312,8.0,nan,(((((-2.059075117111) * X1) - ((-72720.515625000000) * X3)) + 2093.784912109375) * tanh((341.283843994141 * X2)))
100,352.4150085449219,9.0,nan,(sqrt((2042011.375000000000 + ((53974.218750000000 * X4) - (1994.266479492188 * X1)))) * tanh((338.716918945312 * X2)))
69,426.5456848144531,10.0,nan,(((2060.671142578125 + ((-1.947120070457) * X1)) + (42.159412384033 * X4)) * (tanh((338.885467529297 * X2)) * (0.001774683595 * X1)))
100,345.56134033203125,11.0,nan,(sqrt((((((-2003.797241210938) * X1) - (-2049033.500000000000)) - ((-485606.406250000000) * X2)) + (55309.394531250000 * X4))) * tanh((343.501617431641 * X2)))
100,323.0088806152344,12.0,nan,(((((-6779.462890625000) * X1) / ((30782.380859375000 + ((-22.314125061035) * X1)) - ((-927.829040527344) * X4))) - (-1070.182495117188)) * tanh((338.343750000000 * X2)))
100,299.7154541015625,13.0,nan,(((1168.430175781250 + ((-1.068310856819) * X1)) + (36.145706176758 * X4)) * ((((0.001722629182 * X1) ^ 2) + ((-0.234218582511) * X4)) * tanh((338.455169677734 * X2))))
100,287.7431640625,14.0,nan,(((0.985596537590 * X1) - ((((-0.750125229359) * X1) - (-514.986328125000)) * ((0.659133315086 * X4) - ((0.006153497379 * X1) - 3.922091007233)))) * tanh((338.200012207031 * X2)))
100,281.6416015625,15.0,nan,(((((((-1.888502836227) * X1) + 1642.080078125000) + (136.465789794922 * X4)) * tanh(((0.004690355156 * X1) - 3.286097764969))) - (-658.534667968750)) * tanh((338.238006591797 * X2)))
100,272.7146911621094,16.0,nan,((((((((-2.475221633911) * X2) - 1.194114089012) - ((-0.001789035276) * X1)) + ((-0.191823974252) * X4)) * (((-2.781463146210) * X1) - (-1921.260620117188))) + (0.969911694527 * X1)) * tanh((343.654571533203 * X2)))
100,260.62786865234375,17.0,nan,(((((((-1.871286988258) * X1) + 1642.080078125000) + (136.465789794922 * X4)) * tanh(((((-4.446999073029) * X2) - 3.474358320236) - ((-0.005014227703) * X1)))) - (-658.534667968750)) * tanh((348.347442626953 * X2)))
45,272.85247802734375,18.0,nan,((((((((-1.048577666283) * X2) - 0.490447342396) - ((-0.000734793197) * X1)) + ((-0.078716874123) * X4)) * ((((-6.776590824127) * X1) - (-2319.941894531250)) - (-2360.200683593750))) + (0.969609975815 * X1)) * tanh((345.127136230469 * X2)))
100,258.0531921386719,19.0,nan,((((((((-2.407289505005) * X1) + 2065.729980468750) * tanh((346.701141357422 * X2))) + (153.558609008789 * X4)) * tanh(tanh(((0.004435562529 * X1) + (-3.117060899734))))) - (-658.411621093750)) * tanh((344.825378417969 * X2)))
100,245.47483825683594,20.0,nan,(((((-1.429338216782) * X1) - (-1050.197387695312)) * (((-0.324638038874) * X4) - (0.001514264266 * X1))) + (((0.000584789086 * X1) + (-0.190685302019)) * (((((-12.047760963440) * X1) - (-11719.858398437500)) + (78.746566772461 * X4)) * tanh((329.757598876953 * X2)))))
100,229.22486877441406,21.0,nan,(((((-1.426265716553) * X1) - (-1050.197387695312)) * (((-0.318344622850) * X4) - ((0.001329153311 * X1) ^ 2))) + (((0.000744107238 * X1) - 0.299211263657) * (((((-12.168617248535) * X1) - (-11719.858398437500)) + (78.746566772461 * X4)) * tanh((329.757598876953 * X2)))))
100,206.49273681640625,22.0,nan,((((((-0.952079236507) * X1) - (-704.431152343750)) * (((-0.277638614178) * X4) - ((0.005412671715 * X1) - 3.489442348480))) + (((((-2.772835016251) * X1) - (-2649.049316406250)) - ((-18.470626831055) * X4)) * tanh((328.461395263672 * X2)))) * ((0.004077623598 * X1) - 1.858341097832))
99,212.8663330078125,23.0,nan,(((((-4.213878631592) * X1) + 3100.590332031250) * (((-0.090573646128) * X4) - ((((-0.001851254143) * X1) + 0.965712964535) ^ 2))) + (((0.001078627654 * X1) + (-0.529532492161)) * (((((-12.407458305359) * X1) - (-11791.110351562500)) + (85.670738220215 * X4)) * tanh((326.330780029297 * X2)))))
99,210.29359436035156,24.0,nan,((((((-1.046013355255) * X1) - (-772.260742187500)) * (((-0.226383328438) * X4) - ((0.006165127736 * X1) - 4.330034732819))) + ((((0.007936323993 * X1) + (-7.526745319366)) - (0.057057376951 * X4)) * (((-0.483544945717) * X1) * tanh((329.503845214844 * X2))))) * ((0.003333146218 * X1) - 1.281533956528))
99,206.9751434326172,25.0,nan,((((((-1.771625995636) * X1) - (-1305.869873046875)) * (((-0.286421149969) * X4) - ((0.006096012890 * X1) - 4.032642364502))) + ((((0.002407704247 * X1) + (-2.304315805435)) + ((-0.017502306029) * X4)) * (((-2.820373773575) * X1) * tanh((331.494354248047 * X2))))) * tanh(((0.002582971007 * X1) - 1.149399518967)))
99,206.586181640625,26.0,nan,((((((-1.050602436066) * X1) - (-778.077880859375)) * (((-0.470031648874) * X4) - ((0.009416210465 * X1) - 6.098955154419))) + (((((-0.436408698559) * X1) + sqrt(175539.046875000000)) + (3.349455118179 * X4)) * ((0.014585126191 * X1) * tanh((328.700927734375 * X2))))) * tanh(((-1.283190369606) + (0.002849724144 * X1))))
100,201.6898651123047,27.0,nan,((((((-0.904836654663) * X1) - (-667.500671386719)) * (((-0.498083323240) * X4) - ((0.011720743030 * X1) - 7.899987697601))) + ((((0.002289485885 * X1) + (-20.426124572754)) + (((0.019348535687 * X1) - (4.993671417236 * X2)) + ((-0.159820407629) * X4))) * (((-0.332221001387) * X1) * tanh((336.607696533203 * X2))))) * ((0.001081895316 * X1) ^ 2))
100,193.76068115234375,28.0,nan,((((((-2.490883111954) * X1) - (-1835.855346679688)) * (((((-1.260112047195) * X2) - (-0.873209238052)) - (0.001273322618 * X1)) + ((-0.050441067666) * X4))) + ((((0.016294797882 * X1) + (-7.424943923950)) + (((-0.008402469568) * X1) + ((-0.054850801826) * X4))) * (((-0.250004142523) * X1) * tanh((331.840606689453 * X2))))) * ((0.006789557170 * X1) + (-2.627915620804)))
