0,35171.140625, 1.0,nan
1,25943.009765625, 1.0,nan
1,25943.005859375, 2.0,nan
1,15614.7919921875, 3.0,nan
1,15591.26953125, 7.0,nan
1,15182.6435546875, 14.0,nan
1,3858.18505859375, 23.0,nan
2,25943.009765625, 1.0,nan
2,25943.00390625, 2.0,nan
2,15614.7919921875, 3.0,nan
2,15591.26953125, 4.0,nan
2,10897.3193359375, 11.0,nan
2,3858.18505859375, 23.0,nan
2,1191.0166015625, 25.0,nan
3,25943.009765625, 1.0,nan
3,25943.0, 2.0,nan
3,15614.7919921875, 3.0,nan
3,15591.2646484375, 4.0,nan
3,15231.8896484375, 6.0,nan
3,14973.0302734375, 7.0,nan
3,11102.3447265625, 9.0,nan
3,10897.3193359375, 11.0,nan
3,3858.18505859375, 23.0,nan
3,1191.0166015625, 25.0,nan
4,25943.005859375, 1.0,nan
4,25943.0, 2.0,nan
4,15614.7900390625, 3.0,nan
4,15591.2646484375, 4.0,nan
4,11253.78125, 5.0,nan
4,11102.3447265625, 9.0,nan
4,759.2781372070312, 11.0,nan
5,25943.005859375, 1.0,nan
5,25942.998046875, 2.0,nan
5,15614.7900390625, 3.0,nan
5,15591.263671875, 4.0,nan
5,11253.7802734375, 5.0,nan
5,8898.421875, 7.0,nan
5,7773.625, 8.0,nan
5,759.2781372070312, 11.0,nan
5,689.974853515625, 14.0,nan
6,25943.005859375, 1.0,nan
6,25942.998046875, 2.0,nan
6,15614.7900390625, 3.0,nan
6,15581.1767578125, 4.0,nan
6,11253.7802734375, 5.0,nan
6,3532.219482421875, 7.0,nan
6,2095.619873046875, 9.0,nan
6,759.2781372070312, 11.0,nan
6,689.974853515625, 14.0,nan
7,25943.005859375, 1.0,nan
7,25942.998046875, 2.0,nan
7,15614.7900390625, 3.0,nan
7,15581.1767578125, 4.0,nan
7,11253.7802734375, 5.0,nan
7,10933.0048828125, 6.0,nan
7,3532.219482421875, 7.0,nan
7,2095.619873046875, 9.0,nan
7,759.2781372070312, 11.0,nan
7,689.974853515625, 14.0,nan
7,363.6814270019531, 25.0,nan
8,25943.005859375, 1.0,nan
8,25942.998046875, 2.0,nan
8,15614.7900390625, 3.0,nan
8,15581.1767578125, 4.0,nan
8,11253.7802734375, 5.0,nan
8,10933.0048828125, 6.0,nan
8,2923.327880859375, 7.0,nan
8,2095.619873046875, 9.0,nan
8,1299.3291015625, 10.0,nan
8,759.2781372070312, 11.0,nan
8,689.974853515625, 14.0,nan
8,500.95843505859375, 17.0,nan
8,416.2945251464844, 22.0,nan
8,363.6814270019531, 25.0,nan
9,25943.005859375, 1.0,nan
9,25942.998046875, 2.0,nan
9,15614.7900390625, 3.0,nan
9,15581.1767578125, 4.0,nan
9,11253.7802734375, 5.0,nan
9,4952.0439453125, 6.0,nan
9,2923.327880859375, 7.0,nan
9,2641.7998046875, 8.0,nan
9,2095.619873046875, 9.0,nan
9,1206.7320556640625, 10.0,nan
9,759.2781372070312, 11.0,nan
9,689.974853515625, 14.0,nan
9,500.95843505859375, 17.0,nan
9,416.2945251464844, 22.0,nan
9,363.6814270019531, 25.0,nan
10,25943.005859375, 1.0,nan
10,25942.998046875, 2.0,nan
10,15614.7900390625, 3.0,nan
10,15581.1767578125, 4.0,nan
10,11253.7783203125, 5.0,nan
10,4952.0439453125, 6.0,nan
10,1704.5919189453125, 7.0,nan
10,1364.6868896484375, 9.0,nan
10,1206.73193359375, 10.0,nan
10,759.2781372070312, 11.0,nan
10,722.7632446289062, 13.0,nan
10,689.974853515625, 14.0,nan
10,500.95843505859375, 17.0,nan
10,416.2945251464844, 22.0,nan
10,363.6814270019531, 25.0,nan
10,362.74200439453125, 34.0,nan
11,25943.005859375, 1.0,nan
11,25942.998046875, 2.0,nan
11,15614.7880859375, 3.0,nan
11,15581.1767578125, 4.0,nan
11,11253.7783203125, 5.0,nan
11,4952.0439453125, 6.0,nan
11,1704.5919189453125, 7.0,nan
11,1299.329345703125, 8.0,nan
11,1206.73193359375, 10.0,nan
11,759.2781372070312, 11.0,nan
11,722.7632446289062, 13.0,nan
11,668.830078125, 14.0,nan
11,500.95843505859375, 17.0,nan
11,321.406982421875, 19.0,nan
12,25943.005859375, 1.0,nan
12,25942.998046875, 2.0,nan
12,15614.7880859375, 3.0,nan
12,15581.1767578125, 4.0,nan
12,11253.7783203125, 5.0,nan
12,4952.0439453125, 6.0,nan
12,1704.5919189453125, 7.0,nan
12,1299.328857421875, 8.0,nan
12,965.044921875, 9.0,nan
12,759.2781372070312, 11.0,nan
12,722.7630615234375, 13.0,nan
12,546.7416381835938, 14.0,nan
12,500.95843505859375, 17.0,nan
12,321.406982421875, 19.0,nan
12,313.0628967285156, 20.0,nan
12,280.84234619140625, 54.0,nan
13,25943.005859375, 1.0,nan
13,25942.998046875, 2.0,nan
13,15614.7880859375, 3.0,nan
13,15581.1767578125, 4.0,nan
13,11253.7783203125, 5.0,nan
13,1299.9185791015625, 6.0,nan
13,1299.328857421875, 8.0,nan
13,965.044921875, 9.0,nan
13,759.2781372070312, 11.0,nan
13,695.0620727539062, 12.0,nan
13,674.8114013671875, 13.0,nan
13,546.7416381835938, 14.0,nan
13,500.95843505859375, 17.0,nan
13,321.406982421875, 19.0,nan
13,312.0799865722656, 20.0,nan
13,257.7899169921875, 40.0,nan
13,230.459716796875, 48.0,nan
14,25943.005859375, 1.0,nan
14,25942.998046875, 2.0,nan
14,15614.7880859375, 3.0,nan
14,15581.1767578125, 4.0,nan
14,11253.7783203125, 5.0,nan
14,1299.9185791015625, 6.0,nan
14,1189.2010498046875, 8.0,nan
14,965.044921875, 9.0,nan
14,833.8394165039062, 10.0,nan
14,756.330078125, 11.0,nan
14,689.2112426757812, 12.0,nan
14,661.1254272460938, 13.0,nan
14,546.7416381835938, 14.0,nan
14,437.2860412597656, 17.0,nan
14,321.406982421875, 19.0,nan
14,312.0799865722656, 20.0,nan
14,277.2099609375, 33.0,nan
14,257.7899169921875, 40.0,nan
14,232.52281188964844, 46.0,nan
14,230.459716796875, 48.0,nan
14,225.60653686523438, 52.0,nan
15,25943.005859375, 1.0,nan
15,25942.998046875, 2.0,nan
15,15614.7880859375, 3.0,nan
15,15581.1767578125, 4.0,nan
15,11253.7783203125, 5.0,nan
15,1299.91845703125, 6.0,nan
15,661.0847778320312, 8.0,nan
15,537.6522827148438, 12.0,nan
15,512.1517944335938, 14.0,nan
15,437.2860412597656, 17.0,nan
15,385.5103759765625, 18.0,nan
15,321.406982421875, 19.0,nan
15,312.0799865722656, 20.0,nan
15,311.0293884277344, 26.0,nan
15,295.6539611816406, 28.0,nan
15,294.51287841796875, 31.0,nan
15,277.2099609375, 33.0,nan
15,257.7899169921875, 40.0,nan
15,232.52281188964844, 46.0,nan
15,217.4104766845703, 47.0,nan
16,25943.005859375, 1.0,nan
16,25942.998046875, 2.0,nan
