generation,mse,length,msetest,expr
100,182.8028564453125,28.0,nan,((((72.646125793457 * X4) + ((((((-82.799873352051) * X3) - 0.312102347612) * (0.001967086224 * X1)) - tanh(((-343.786376953125) * X2))) * ((((-2.815623998642) * X1) + 2586.441650390625) + (1374.973999023438 * X2)))) * (((0.442388325930 * X4) - (460.569274902344 * X3)) - (((-0.005197501741) * X1) + 0.787318646908))) + (136.982604980469 + (0.661501705647 * X1)))
60,192.40460205078125,29.0,nan,(((((20.152833938599 * X4) - ((-87594.242187500000) * X3)) + (((0.868412852287 + ((-0.001865676022) * X1)) - tanh(((-436.113311767578) * X2))) * (1901.341918945312 + ((-2.438317298889) * X1)))) * ((0.005428972188 * X1) + (-4.149764537811))) + (((-0.024451751262) * X1) + (tanh(((-337.074157714844) * X2)) * ((1.801105022430 * X1) - ((37.944736480713 * X4) - (-2105.861816406250))))))
100,180.14456176757812,30.0,nan,(((((47.058616638184 * X4) - (378.937744140625 * X3)) + ((((((-114.111305236816) * X3) - 0.362988144159) * (0.001596916351 * X1)) - tanh(((-343.341064453125) * X2))) * ((1490.797607421875 + ((-1.618892312050) * X1)) + (786.967529296875 * X2)))) * (((0.752007782459 * X4) - (749.514404296875 * X3)) - (((-0.008502111770) * X1) + 1.089321613312))) + (72.801010131836 + (0.780497848988 * X1)))
37,202.4866485595703,31.0,nan,(((((28.612188339233 * X4) - ((-55977.714843750000) * X3)) + ((((-1.041662931442) + ((-0.002323605353) * X1)) - tanh(((-329.461944580078) * X2))) * (2863.080566406250 + ((-3.069096326828) * X1)))) * (exp((57.504989624023 * X3)) - (((-0.003459079424) * X1) + 2.550927639008))) + ((1.939695000648 * X1) + ((3992.811279296875 + ((-7.267991065979) * X1)) * ((-3.234877109528) + (0.004040077329 * X1)))))
100,163.1367645263672,32.0,nan,(((((-16.130233764648) * X4) - ((-106155.000000000000) * X3)) + (((((((-0.003456534585) * X1) * 0.407087415457) - ((0.080313764513 * X4) + (-0.609832167625))) * (1.510067820549 + ((-0.000134233007) * X1))) - tanh(((-344.084838867188) * X2))) * (((-3.227332592010) * X1) + ((((151.392684936523 * X4) - (154931.562500000000 * X3)) + 3610.142578125000) + (1336.169799804688 * X2))))) * ((-1.828532814980) + (0.003854494775 * X1)))
99,166.47381591796875,33.0,nan,(((((-14.863126754761) * X4) - ((-86841.117187500000) * X3)) + (((((((-80.836212158203) + (0.531165421009 * X1)) * (-0.003831060836)) - ((0.137834519148 * X4) + (-0.487337976694))) * exp(((-164.308990478516) * X3))) - tanh(((-346.553863525391) * X2))) * (((-2.889477729797) * X1) + ((((139.344299316406 * X4) - (142861.203125000000 * X3)) + 3245.709228515625) + (1620.792236328125 * X2))))) * ((-2.009530782700) + (0.004253892694 * X1)))
91,171.66880798339844,34.0,nan,(((((142.193878173828 * X4) + ((((((-58.092777252197) * X3) - 0.465239018202) * ((-1.571836829185) + (0.002958298428 * X1))) - tanh(((-344.036376953125) * X2))) * ((((-2.902003288269) * X1) + 2674.988281250000) + (1285.051879882812 * X2)))) * (((0.401740223169 * X4) - (398.332641601562 * X3)) - ((0.586831986904 + ((-0.605515718460) * X1)) + (0.600914657116 * X1)))) + ((-944.911437988281) + ((-135946.500000000000) * X3))) + (2.411840677261 * X1))
100,162.15069580078125,35.0,nan,((((((-16.129989624023) * X4) - ((-106155.000000000000) * X3)) + (((((((-0.002542279894) * X1) * 0.407087415457) - ((0.059070918709 * X4) + (-0.448531866074))) * (2.053206205368 + ((-0.000182622447) * X1))) - tanh(((-344.084838867188) * X2))) * (((-3.227330923080) * X1) + ((((151.392684936523 * X4) - (154931.562500000000 * X3)) + 3610.142578125000) + (1336.169799804688 * X2))))) * ((-1.828518033028) + (0.003854471026 * X1))) + tanh(32005.218750000000))
100,161.34913635253906,36.0,nan,(((((((-74.773757934570) * X4) - ((-219950.562500000000) * X3)) + ((2.571340799332 + ((-0.003159771208) * X1)) * (1483.628173828125 + ((-1.704577088356) * X1)))) * ((-2.081444740295) + (0.005161055829 * X1))) + ((((((218.903869628906 * X4) - (230833.140625000000 * X3)) + ((((-0.008128353395) * X1) - (-2.945122480392)) * ((-1684.836914062500) - ((-1.608281850815) * X1)))) * tanh((341.526000976562 * X2))) - (230895.531250000000 * X3)) + (1122.703613281250 * X2))) + ((-0.868291139603) * X1))
77,168.8494873046875,37.0,nan,(((((73.490806579590 * X4) - ((-392227.312500000000) * X3)) + ((((-0.002727825195) * X1) - tanh((15.823773384094 * X2))) * (683.051757812500 + ((-2.206204652786) * X1)))) * ((-1.390950679779) + (0.001310595660 * X1))) + ((((((247.039154052734 * X4) - (266544.562500000000 * X3)) + ((((-0.008600404486) * X1) - (-3.100054740906)) * ((-1708.057373046875) - ((-1.624233841896) * X1)))) * tanh((335.603363037109 * X2))) + (((-157.715896606445) * X4) - ((-392175.250000000000) * X3))) + (6061.665039062500 * X2)))
