generation,mse,length,msetest,expr
100,25943.0,1.0,nan,418.982421875000
100,25942.99609375,2.0,nan,(20.469026565552 ^ 2)
100,15442.34375,3.0,nan,((226209.937500000000 * X2) / (sqrt(1 + ((-466.635192871094) * X2) ^ 2)))
100,12243.28125,4.0,nan,((179427.890625000000 * X2) * exp(((-123.621612548828) * X2)))
100,7862.16162109375,5.0,nan,(((-1.333439707756) * X1) + ((3120747.250000000000 * X2) / (sqrt(1 + ((-2070.299560546875) * X2) ^ 2))))
100,1454.675048828125,6.0,nan,((((-2.104227304459) * X1) + 2168.583740234375) / (sqrt(1 + (1 / (369.879394531250 * X2)) ^ 2)))
100,1261.77880859375,7.0,nan,((((-2.130622863770) * X1) - (-2191.585693359375)) / (sqrt(1 + (((-0.007059067953) * X4) / (9.774224281311 * X2)) ^ 2)))
100,744.5928955078125,8.0,nan,(((79322.406250000000 * X3) + (((-2.176492214203) * X1) - (-2204.019042968750))) / (sqrt(1 + (1 / (360.996246337891 * X2)) ^ 2)))
67,756.6184692382812,9.0,nan,(((0.445087343454 * X2) / (sqrt(1 + ((-361.528778076172) * X2) ^ 2))) * ((50073.007812500000 * X4) + (((-1751.871826171875) * X1) + 1990085.250000000000)))
100,672.1983642578125,10.0,nan,(((79314.320312500000 * X3) + (((-2.146770000458) * X1) - ((2655.984863281250 * X2) + (-2214.153320312500)))) / (sqrt(1 + (1 / (330.414733886719 * X2)) ^ 2)))
100,619.1512451171875,11.0,nan,(sqrt((((83992.617187500000 * X4) + (((-2873.806396484375) * X1) + 3061944.500000000000)) / (sqrt(1 + (1 / (256.071594238281 * X2)) ^ 2)))) + (-155.442108154297))
100,388.3756408691406,12.0,nan,sqrt((((53181.460937500000 * X4) + (((-1971.851562500000) * X1) + 2018834.250000000000)) / (sqrt(1 + ((-47.040939331055) / (sqrt(1 + ((150424.718750000000 * X2) * (27.328035354614 * X2)) ^ 2))) ^ 2))))
22,890.0116577148438,13.0,nan,(((((-2.065170288086) * X1) - (-2144.797607421875)) / (sqrt(1 + ((0.038640588522 * X1) / (sqrt(1 + (10674.363281250000 * X2) ^ 2))) ^ 2))) - ((7301.805664062500 * X4) + ((-195.267898559570) + ((-7353.722656250000) * X4))))
100,346.2361755371094,14.0,nan,(sqrt((((49432.148437500000 * X4) + (((-1812.849487304688) * X1) + 1845719.875000000000)) / (sqrt(1 + ((220.289489746094 * X1) / (sqrt(1 + ((338740.218750000000 * X2) * ((-37579.597656250000) * X2)) ^ 2))) ^ 2)))) + 36.755084991455)
38,426.3477478027344,15.0,nan,(((32.644123077393 * X4) - ((1.497052073479 * X1) - 1584.438476562500)) * ((7.120983123779 * X1) / ((118533.476562500000 / (sqrt(1 + ((-13028.260742187500) * X2) ^ 2))) + ((346161.218750000000 * X2) / (sqrt(1 + (123.614898681641 * X2) ^ 2))))))
100,335.1806335449219,16.0,nan,(sqrt((((45644.769531250000 * X4) + (((-1702.885742187500) * X1) + 1721047.125000000000)) / (sqrt(1 + ((18.135124206543 * X1) / (sqrt(1 + ((133031.859375000000 * X2) * ((-7422.153808593750) * X2)) ^ 2))) ^ 2)))) - (((-89846.156250000000) * X2) / (sqrt(1 + ((-1405.208984375000) * X2) ^ 2))))
45,345.88433837890625,17.0,nan,(sqrt((((49395.058593750000 * X4) + (((-1817.523193359375) * X1) + 1849810.500000000000)) / (sqrt(1 + (((549.243591308594 * X1) - (-59958.179687500000)) / (sqrt(1 + ((807266.875000000000 * X2) * ((-45163.804687500000) * X2)) ^ 2))) ^ 2)))) + (6.010813236237 ^ 2))
