length,mse_mean,stderr
1.0,25943.00146484375,0.00146484375
2.0,25942.99658203125,0.00048828125
3.0,15528.564697265625,49.78081475762257
4.0,12905.831787109375,662.5476074227147
5.0,9580.179931640625,966.4223573937109
6.0,1338.6070861816406,38.689320882172154
7.0,1190.1676940917969,24.289823813339645
8.0,675.1467590332031,23.14871215832382
9.0,453.46595001220703,101.05083974203805
10.0,485.7345504760742,62.189976837093816
11.0,412.6212692260742,69.20213730067856
12.0,371.0457229614258,16.205078629113743
13.0,458.5801544189453,144.40428903254335
14.0,304.8935241699219,13.832591405202175
15.0,328.49086507161456,48.943164670693434
16.0,293.5805435180664,14.278690393435927
17.0,298.3290786743164,19.235221590351372
18.0,285.7388153076172,16.4209326404729
19.0,285.6423645019531,13.50820542727645
20.0,261.9099235534668,18.460065379604295
21.0,266.3281669616699,13.700066149221252
22.0,233.45354080200195,16.19269416349076
23.0,234.0700340270996,21.95566631409713
24.0,225.9981689453125,14.198786783869485
25.0,216.7082977294922,16.491921240938947
26.0,231.49932861328125,18.467662166936982
27.0,210.1301155090332,17.64255766168726
28.0,205.390625,15.15916038887351
29.0,225.95013046264648,24.187932146995372
30.0,193.7195930480957,12.347087249500959
31.0,209.28533554077148,30.39556139339781
32.0,184.03142547607422,15.843193366442668
33.0,230.14815521240234,69.2026843631135
34.0,196.87149810791016,11.876940292995698
35.0,173.22919082641602,15.657860637304209
36.0,172.85224533081055,18.249847635132564
37.0,183.98592376708984,14.670412512942805
38.0,160.91096878051758,17.98403549744671
39.0,155.7840633392334,17.459042079316404
40.0,160.6724967956543,13.770033807975516
41.0,150.48882675170898,9.11931173022207
42.0,151.2854461669922,21.016518273489208
43.0,131.7860450744629,10.495013000937865
44.0,149.640775680542,22.813109723558792
45.0,120.96681213378906,14.66794665075804
46.0,136.84058380126953,13.679260595234485
47.0,118.91142082214355,11.886688635995766
48.0,116.69318008422852,14.492754615995288
49.0,130.81575202941895,15.91943688293114
50.0,118.11318397521973,13.76473342083234
51.0,113.06047439575195,15.359707686299954
52.0,111.66769409179688,9.851978183049532
53.0,104.68897438049316,17.001783519799048
54.0,101.3101863861084,11.856623254417352
55.0,104.4384937286377,17.47635770308039
56.0,110.24513626098633,14.711110618410338
57.0,96.023362159729,20.460056164501925
58.0,111.66153526306152,12.222535358822602
59.0,90.83983898162842,19.127223678481773
60.0,102.11530208587646,20.655580498291567
61.0,93.86538219451904,25.687447213991092
62.0,106.86974589029948,8.805116922516342
63.0,92.16329669952393,11.979934953458862
64.0,83.55625534057617,17.095171507903874
65.0,83.31160926818848,18.09094703656386
66.0,99.0324182510376,21.069675998757013
67.0,81.96613311767578,19.253739424353675
68.0,87.9495620727539,13.995997590222041
69.0,73.83538818359375,16.575360925775353
70.0,72.66130065917969,17.363433584070822
71.0,69.33297061920166,10.767018804071476
72.0,71.77259063720703,12.35636141992446
73.0,65.5573263168335,10.962070870697055
74.0,70.08230686187744,13.062726178706473
75.0,66.9853868484497,14.196565830927012
76.0,64.04062747955322,8.979281857594357
77.0,84.04860973358154,34.34881753516939
78.0,100.27407328287761,18.879388074750814
79.0,63.282490730285645,10.626463679140436
80.0,57.95074987411499,15.005884888301633
81.0,58.0455436706543,9.251565409266428
82.0,66.00174522399902,9.805059091606386
83.0,64.46823215484619,21.776713820606698
84.0,46.43104553222656,10.25653256638536
85.0,54.404430866241455,17.55218767542142
86.0,80.21699142456055,23.330240548664378
87.0,48.9196252822876,7.374372332026879
88.0,43.6509804725647,9.104864465202224
89.0,43.72064733505249,9.396973481286603
90.0,43.079044818878174,11.002324800567306
91.0,66.23799753189087,26.325675405788985
92.0,64.19331550598145,29.27512172807541
93.0,58.75157833099365,19.330412157915575
94.0,35.93528962135315,8.402762089966993
95.0,75.71349716186523,27.276082767736323
96.0,39.495232582092285,9.673631478147158
97.0,57.47020387649536,28.62882719516265
98.0,66.3996901512146,23.84217322168395
100.0,59.84799575805664,18.62589240563505
99.0,82.40051142374675,55.23959391357953
