length,mse_mean,stderr
1.0,388.5413818359375,0
2.0,224.8255157470703,0.000006229374549314316
3.0,130.1805648803711,0.0028305122258873642
4.0,126.22819519042969,0.02807108636077218
5.0,107.64347648620605,7.722848544456472
6.0,69.3048210144043,7.062470753987688
7.0,50.0535888671875,6.80121865479997
8.0,29.89681100845337,0.11151526711339056
9.0,29.503798484802246,1.8593512999827662
10.0,19.361746549606323,4.214328213428191
11.0,11.145729541778564,2.557496145156548
12.0,8.299660205841064,3.961490079542687
13.0,6.741261959075928,3.0264751319000207
14.0,6.4531232714653015,3.1156758865996936
15.0,3.546446442604065,1.2319193559750707
16.0,3.2922146320343018,0.9076991669288383
17.0,2.879681497812271,0.7486959291835835
18.0,2.930356949567795,0.6307134694890152
19.0,2.3027859926223755,0.6332314865831059
20.0,1.8514475524425507,0.12565725089537644
21.0,2.0777091681957245,0.5586831411328131
22.0,1.490630328655243,0.176351316620322
23.0,1.3901475071907043,0.04874070055541429
24.0,1.2948157787322998,0.1375575163404323
25.0,1.1558512151241302,0.07944982694423212
26.0,1.1579392403364182,0.08789980092734873
27.0,1.1777790635824203,0.10639857290600498
28.0,0.9416868388652802,0.10062111120458382
29.0,1.002235859632492,0.07943339388198278
30.0,0.9092330485582352,0.08350120000909157
31.0,0.9524869918823242,0.08913278378178208
32.0,0.8277890533208847,0.1307282691467468
33.0,0.775063619017601,0.0715612173720808
34.0,0.6993171721696854,0.06250662875238176
35.0,0.8866688013076782,0.06975945951994245
36.0,0.789536863565445,0.10308294422142124
37.0,0.6602565050125122,0.052748888165292794
38.0,0.6729659736156464,0.05825998433949099
39.0,0.7145721763372421,0.014342634149060705
40.0,0.5457208305597305,0.04764484487677772
41.0,0.5379538238048553,0.021979459359602733
42.0,0.6368083953857422,0.06061270926974345
43.0,0.49873439967632294,0.020258017316063377
44.0,0.6294987201690674,0.08362698535000596
45.0,0.49537374824285507,0.027446265960281217
46.0,0.49063412845134735,0.03362611645639757
47.0,0.47278808057308197,0.04224623767601392
48.0,0.4385886713862419,0.01713381885938242
49.0,0.4670534133911133,0.02272653468537856
50.0,0.4462287575006485,0.03888486162308897
51.0,0.4104950800538063,0.023559387472817092
52.0,0.3978259190917015,0.016056550555806102
53.0,0.41801589727401733,0.026956964801032015
54.0,0.39026113599538803,0.025251001882902007
55.0,0.38442593067884445,0.03876240932699816
56.0,0.3699868768453598,0.018319728157365472
57.0,0.43844592571258545,0.0630876243751791
58.0,0.3600465953350067,0.004826857628649192
59.0,0.4233207553625107,0.0552945549908567
60.0,0.36187273263931274,0.02347606062114257
61.0,0.33053071796894073,0.01299917494875111
62.0,0.38867326080799103,0.02302603672679538
63.0,0.3421289399266243,0.02819339650730769
64.0,0.3173029124736786,0.01807296088080115
65.0,0.35043174773454666,0.036069421106059936
66.0,0.3354595750570297,0.007869906641264936
67.0,0.31857073307037354,0.02063965612244215
68.0,0.3133077695965767,0.012860233017226011
69.0,0.3454076498746872,0.020687681581383458
70.0,0.2927810475230217,0.017773913533966047
71.0,0.30433613806962967,0.014701174188249016
72.0,0.2883617877960205,0.010866448719348215
73.0,0.29096557199954987,0.013021091905446291
74.0,0.2914375811815262,0.018463342135107304
76.0,0.2929620258510113,0.04062938472479962
77.0,0.3259859085083008,0.027141583496471687
78.0,0.3870990350842476,0.08247139982812592
79.0,0.2814735397696495,0.016807178642911074
80.0,0.26180634647607803,0.010354573519402898
81.0,0.31367920339107513,0.060374976731849016
82.0,0.2753356397151947,0.02192333952737694
83.0,0.27324317768216133,0.024911575889901727
84.0,0.2628217004239559,0.018174472000847455
85.0,0.42971985787153244,0.16883329230311242
86.0,0.2631019614636898,0.014367896910585837
87.0,0.24574579671025276,0.013320999173451897
88.0,0.27084173758824664,0.0015073848283509975
89.0,0.26785775646567345,0.024579513776201694
90.0,0.28033750504255295,0.012681086772330888
93.0,0.2477010302245617,0.011600647257482354
94.0,0.2637633606791496,0.028408063544858635
95.0,0.5795753225684166,0.33964645671214244
96.0,0.25657080113887787,0.025777662882309867
97.0,0.243086826056242,0.0129758734135407
98.0,0.2350146248936653,0.011503772051652705
99.0,0.2331365905702114,0.01044202135353833
100.0,0.2516275607049465,0.02741812907395523
75.0,0.2947874863942464,0.021502124671323477
91.0,0.2539229393005371,0.024950184777964617
92.0,0.24956185122330984,0.022553820409781638
