temp,phi,phip,kf
350.1943673,0.0002,0.001,0.27224216
350.18673779153414,0.0019110431670822945,0.001,5.8267272283965035
350.1962472063993,0.003622086334164589,0.001,22.637860894078255
350.20117495819136,0.005333129501246882,0.001,34.19800861592572
350.2037687061262,0.007044172668329177,0.001,38.10966437459155
350.204027424783,0.008755215835411473,0.001,39.44617057300375
350.20144150808903,0.010466259002493766,0.001,40.200696349457246
350.19762965153296,0.01217730216957606,0.001,40.794483641711395
350.1939526364323,0.013888345336658356,0.001,41.1812493388718
350.1907501267512,0.01559938850374065,0.001,41.54559515666877
350.18762392314727,0.017310431670822943,0.001,41.794154757729004
350.18461629774356,0.01902147483790524,0.001,42.12384444466438
350.18258569543633,0.02073251800498753,0.001,42.30966266762965
350.181801833081,0.022443561172069824,0.001,42.53874206786283
350.18159832311886,0.02415460433915212,0.001,42.60103102701709
350.18126640295975,0.025865647506234414,0.001,42.76045064553551
350.1809714397611,0.02757669067331671,0.001,42.925915662576905
350.18153657940593,0.029287733840399004,0.001,43.00955542883784
350.18339688285033,0.0309987770074813,0.001,43.060123634450626
350.18591128722875,0.03270982017456359,0.001,43.136217796604576
350.18767600775016,0.03442086334164589,0.001,43.2088502975954
350.1875400767568,0.03613190650872818,0.001,43.310984086772635
350.1855696437451,0.03784294967581048,0.001,43.32206770936404
350.1833084025888,0.03955399284289277,0.001,43.33478733191173
350.1829373262262,0.04126503600997506,0.001,43.41588295394025
350.18565639474275,0.042976079177057355,0.001,43.37762326240686
350.19135118272624,0.04468712234413965,0.001,43.42359638718235
350.1988822297389,0.046398165511221945,0.001,43.47295913861192
350.20664289010097,0.04810920867830424,0.001,43.47729493915022
350.2129371639847,0.049820251845386535,0.001,43.47277047197406
350.2161724958543,0.05153129501246883,0.001,43.513077603231714
350.21517840096686,0.053242338179551124,0.001,43.519085043548536
350.20970071449335,0.05495338134663342,0.001,43.494610805531146
350.20065356833567,0.056664424513715714,0.001,43.49951086841724
350.189777815736,0.05837546768079801,0.001,43.52102771095801
350.1788845254506,0.0600865108478803,0.001,43.429985257323615
350.16929473113413,0.0617975540149626,0.001,43.45547256676555
350.16138527347863,0.06350859718204489,0.001,43.45438474339768
350.1552158565478,0.0652196403491272,0.001,43.45505513956102
350.1508259940912,0.06693068351620948,0.001,43.41131384472125
350.14814242390275,0.06864172668329178,0.001,43.44762689075385
350.14687774875256,0.07035276985037407,0.001,43.404615357103665
350.1468241992855,0.07206381301745637,0.001,43.37984195923192
350.1483107942067,0.07377485618453866,0.001,43.42618004050115
350.1521939896606,0.07548589935162096,0.001,43.38039515584129
350.15923761408015,0.07719694251870325,0.001,43.35967152385097
350.16945558860976,0.07890798568578555,0.001,43.40632842167508
350.18193233168313,0.08061902885286784,0.001,43.295123680530004
350.19499013500297,0.08233007201995013,0.001,43.38579382650872
350.2062902217544,0.08404111518703243,0.001,43.35043821332015
350.2138800262767,0.08575215835411472,0.001,43.33259472456434
350.216879453006,0.08746320152119702,0.001,43.31878991136421
350.21595685394186,0.08917424468827931,0.001,43.31576761434214
350.2129815895888,0.09088528785536161,0.001,43.298989462346434
350.2100710086146,0.0925963310224439,0.001,43.26103941679465
350.20878788882044,0.0943073741895262,0.001,43.21988834049328
350.2098571879893,0.09601841735660849,0.001,43.19438533191689
350.21310436466615,0.09772946052369079,0.001,43.21791449370807
350.2174074117726,0.09944050369077308,0.001,43.2228714374777
350.22103910832504,0.10115154685785538,0.001,43.18089038131032
350.22267191229514,0.10286259002493767,0.001,43.167867863787386
350.2223963660943,0.10457363319201997,0.001,43.22277266183732
350.2217278521642,0.10628467635910226,0.001,43.129985344606126
350.221982501004,0.10799571952618456,0.001,43.16790273778572
350.22301481732495,0.10970676269326685,0.001,43.095031456122115
350.2237374957055,0.11141780586034913,0.001,43.0701793605936
350.22316376855775,0.11312884902743144,0.001,43.104312574294354
350.2208308076289,0.11483989219451372,0.001,43.1061186394578
