temp,phi,phip,kf
350.2089332,0.09343311,0.001,43.27767753
350.2086689,0.09502327,0.001,43.17256736
350.2105665,0.09661244,0.001,43.2074089
350.2141752,0.09820078,0.001,43.22234726
350.2183151,0.09978865,0.001,43.22301864
350.2214886,0.10137644,0.001,43.17393875
350.222753,0.10296443,0.001,43.16745185
350.2224054,0.10455274,0.001,43.22407532
350.2217185,0.10614137,0.001,43.1250267
350.2218222,0.1077304,0.001,43.18000985
350.2227826,0.10931999,0.001,43.10747337
350.2237374,0.11091027,0.001,43.05631638
350.2237377,0.1125012,0.001,43.0997715
350.2222824,0.11409271,0.001,43.11128616
350.2191893,0.11568483,0.001,43.10027504
350.2143252,0.11727774,0.001,43.03060341
350.2077036,0.11887148,0.001,42.97214508
350.1998639,0.1204657,0.001,43.0950222
350.1920991,0.12205962,0.001,43.01027489
350.1861909,0.12365225,0.001,42.95318794
350.1836085,0.12524292,0.001,42.95195961
350.1845561,0.12683169,0.001,42.98777008
350.1875978,0.1284194,0.001,42.8899231
350.1904029,0.1300072,0.001,42.92887879
350.1912757,0.13159592,0.001,42.95601082
350.1902815,0.13318574,0.001,42.95210648
350.1890052,0.13477634,0.001,42.9091587
350.1892203,0.13636738,0.001,42.86426735
350.1916641,0.13795888,0.001,42.83953286
350.1957524,0.13955117,0.001,42.84179878
350.200083,0.14114462,0.001,42.88332748
350.2031655,0.14273924,0.001,42.88405228
350.2040601,0.14433463,0.001,42.85907936
350.2027729,0.1459301,0.001,42.84669494
350.2001869,0.147525,0.001,42.79872322
350.1975057,0.14911893,0.001,42.80573464
350.1955927,0.15071178,0.001,42.7591095
350.1946698,0.15230365,0.001,42.75564766
350.1944935,0.15389476,0.001,42.73914337
350.1947365,0.15548536,0.001,42.75707436
350.1952122,0.15707568,0.001,42.7181263
350.1958219,0.15866599,0.001,42.73112106
350.1963895,0.16025661,0.001,42.73493576
350.1965678,0.16184797,0.001,42.69161034
350.1958813,0.16344049,0.001,42.7289753
350.1939421,0.16503436,0.001,42.6844101
350.1908254,0.16662927,0.001,42.65058708
350.1873817,0.16822435,0.001,42.66930199
350.1851187,0.16981843,0.001,42.65008926
350.1855044,0.17141059,0.001,42.62476539
350.1890347,0.17300071,0.001,42.55072021
350.194722,0.17458968,0.001,42.61232758
350.2004276,0.17617894,0.001,42.61086655
350.2038754,0.17776976,0.001,42.60909271
350.2038246,0.17936252,0.001,42.62713432
350.2008375,0.18095656,0.001,42.62213898
350.1971007,0.18255052,0.001,42.56301689
350.1950632,0.18414319,0.001,42.51738548
350.1955622,0.18573425,0.001,42.5343647
350.1968554,0.18732457,0.001,42.48019028
350.1954728,0.18891583,0.001,42.50650787
350.1883589,0.19050962,0.001,42.53167534
350.1748298,0.19210656,0.001,42.53183364
350.1571207,0.19370595,0.001,42.50662613
350.1393162,0.1953062,0.001,42.45060921
350.1254586,0.19690561,0.001,42.40447808
350.1180429,0.19850295,0.001,42.34594726
350.1176494,0.2000977,0.001,42.34502029
350.1234865,0.20168982,0.001,42.38309478
350.1340122,0.20327956,0.001,42.40608025
350.1471709,0.20486746,0.001,42.34051323
350.1605699,0.20645434,0.001,42.36848068
