8,2484.577392578125, 6.0,nan
8,2143.8369140625, 8.0,nan
8,1149.7479248046875, 9.0,nan
8,946.8444213867188, 10.0,nan
8,797.3641967773438, 11.0,nan
8,731.61572265625, 14.0,nan
8,727.1947021484375, 16.0,nan
8,609.85400390625, 17.0,nan
9,20722.421875, 1.0,nan
9,4887.1845703125, 3.0,nan
9,4686.9990234375, 4.0,nan
9,3861.691650390625, 5.0,nan
9,2484.574462890625, 6.0,nan
9,919.0075073242188, 8.0,nan
9,797.3641967773438, 11.0,nan
9,678.640625, 12.0,nan
9,609.85400390625, 17.0,nan
9,498.9170837402344, 25.0,nan
10,20722.421875, 1.0,nan
10,4887.1845703125, 3.0,nan
10,4686.9990234375, 4.0,nan
10,3861.691650390625, 5.0,nan
10,2484.574462890625, 6.0,nan
10,2375.010009765625, 7.0,nan
10,919.0075073242188, 8.0,nan
10,828.18505859375, 9.0,nan
10,797.3641967773438, 11.0,nan
10,678.640625, 12.0,nan
10,609.85400390625, 17.0,nan
10,523.9182739257812, 18.0,nan
10,498.9170837402344, 25.0,nan
11,20722.421875, 1.0,nan
11,4887.1845703125, 3.0,nan
11,4679.37744140625, 4.0,nan
11,3861.691650390625, 5.0,nan
11,2484.572998046875, 6.0,nan
11,2375.010009765625, 7.0,nan
11,919.0075073242188, 8.0,nan
11,828.18505859375, 9.0,nan
11,797.3641967773438, 11.0,nan
11,678.640625, 12.0,nan
11,609.85400390625, 17.0,nan
11,523.9182739257812, 18.0,nan
11,498.9170837402344, 25.0,nan
11,464.94586181640625, 30.0,nan
12,20722.421875, 1.0,nan
12,4887.18408203125, 3.0,nan
12,4679.37744140625, 4.0,nan
12,3861.690673828125, 5.0,nan
12,2484.572998046875, 6.0,nan
12,2375.010009765625, 7.0,nan
12,919.0075073242188, 8.0,nan
12,828.1849365234375, 9.0,nan
12,761.7560424804688, 11.0,nan
12,678.640625, 12.0,nan
12,609.85400390625, 17.0,nan
12,523.9182739257812, 18.0,nan
12,498.9170837402344, 25.0,nan
12,464.94586181640625, 30.0,nan
13,20722.421875, 1.0,nan
13,4887.18408203125, 3.0,nan
13,4679.37744140625, 4.0,nan
13,3861.690673828125, 5.0,nan
13,2484.572998046875, 6.0,nan
13,2375.010009765625, 7.0,nan
13,919.0075073242188, 8.0,nan
13,741.7813110351562, 9.0,nan
13,678.640625, 12.0,nan
13,655.8889770507812, 14.0,nan
13,611.5965576171875, 16.0,nan
13,609.85400390625, 17.0,nan
13,523.9182739257812, 18.0,nan
13,517.8054809570312, 19.0,nan
13,505.5390930175781, 21.0,nan
13,498.9170837402344, 25.0,nan
13,481.1720275878906, 29.0,nan
13,464.94586181640625, 30.0,nan
13,340.6236877441406, 32.0,nan
14,20722.421875, 1.0,nan
14,4887.18408203125, 3.0,nan
14,4679.37744140625, 4.0,nan
14,3861.690673828125, 5.0,nan
14,2484.572998046875, 6.0,nan
14,2375.010009765625, 7.0,nan
14,919.0075073242188, 8.0,nan
14,741.7813110351562, 9.0,nan
14,637.4968872070312, 12.0,nan
14,568.9796752929688, 15.0,nan
14,523.9182739257812, 18.0,nan
14,517.8054809570312, 19.0,nan
14,505.5390930175781, 21.0,nan
14,477.89202880859375, 25.0,nan
14,464.94586181640625, 30.0,nan
14,340.6236877441406, 32.0,nan
14,295.2397766113281, 35.0,nan
15,20722.421875, 1.0,nan
15,4887.18408203125, 3.0,nan
15,4679.37744140625, 4.0,nan
15,3861.690673828125, 5.0,nan
15,2484.572998046875, 6.0,nan
15,2288.5419921875, 7.0,nan
15,919.0075073242188, 8.0,nan
15,741.7813110351562, 9.0,nan
15,637.4968872070312, 12.0,nan
15,568.9796752929688, 15.0,nan
15,523.9182739257812, 18.0,nan
