generation,mse,length,msetest,expr
100,20722.421875,1.0,nan,435.515625000000
4,20722.4296875,2.0,nan,((-20.869293212891) ^ 2)
100,4887.18408203125,3.0,nan,(((-1.917772650719) * X1) - (-1949.932617187500))
100,4679.37548828125,4.0,nan,((3.098644495010 * X1) - ((0.056598670781 * X1) ^ 2))
100,3861.690673828125,5.0,nan,((1784.434814453125 / (sqrt(1 + ((-1.762537717819) * X2) ^ 2))) - (1.669458985329 * X1))
100,2484.572998046875,6.0,nan,(tanh((398.232391357422 * X2)) * (2017.786010742188 - (1.992783665657 * X1)))
100,2288.538818359375,7.0,nan,(tanh((399.967163085938 * X2)) * ((3.195503234863 * X1) - ((0.057546034455 * X1) ^ 2)))
100,918.8948364257812,8.0,nan,(((-740.440612792969) * X2) + (tanh((327.419860839844 * X2)) * (1847.810546875000 - (1.690904498100 * X1))))
100,683.2395629882812,9.0,nan,((tanh((340.055480957031 * X2)) * sqrt((((-1832.940307617188) * X1) - (-1706945.750000000000)))) / (sqrt(1 + ((-5.298759460449) * X2) ^ 2)))
57,687.6205444335938,10.0,nan,((tanh((340.027465820312 * X2)) * ((22.763765335083 - (0.022950714454 * X1)) / (sqrt(1 + ((-5.323240756989) * X2) ^ 2)))) * (0.138909786940 * X1))
100,517.7752685546875,11.0,nan,(tanh((330.323486328125 * X2)) * ((((-703.219604492188) * X2) + ((3.393206357956 * X1) + (30.363246917725 * X4))) - ((0.057188324630 * X1) ^ 2)))
100,462.96490478515625,12.0,nan,((tanh((342.039001464844 * X2)) * ((((0.151826158166 * X4) + 12.113129615784) - (0.011663247831 * X1)) / (sqrt(1 + ((-5.171390533447) * X2) ^ 2)))) * (0.276626229286 * X1))
100,397.78472900390625,13.0,nan,((tanh((341.691040039062 * X2)) * (((0.001062733354 * X1) ^ 2) / (sqrt(1 + ((-5.328293800354) * X2) ^ 2)))) * (((52.762367248535 * X4) + 4587.183105468750) - (4.606179714203 * X1)))
100,387.95770263671875,14.0,nan,((tanh((341.688690185547 * X2)) * (((0.001297260635 * X1) - 0.370938152075) / (sqrt(1 + (5.268563747406 * X2) ^ 2)))) * (((53.408599853516 * X4) + 4587.183105468750) - (4.542607784271 * X1)))
100,251.6317901611328,15.0,nan,(tanh((317.120391845703 * X2)) * ((((-1729.045288085938) * X2) + 734.404174804688) - (((((-0.081434823573) * X1) + ((41.368869781494 * X2) + 49.642337799072)) / (sqrt(1 + (533.127380371094 * X3) ^ 2))) ^ 2)))
62,310.8520202636719,16.0,nan,((tanh((340.753234863281 * X2)) * ((0.000354266085 * X1) / (sqrt(1 + ((-5.280219078064) * X2) ^ 2)))) * (2639.212890625000 - ((((-4.984718322754) * X1) - (-3474.355224609375)) * (((-0.001135069411) * X1) + (0.218545332551 * X4)))))
100,183.43124389648438,17.0,nan,(tanh((316.701690673828 * X2)) * (((((-1818.651123046875) * X2) + 543.682189941406) - ((((-0.077960081398) * X1) - ((((-43.401004791260) * X2) + (-61.055847167969)) + ((-3.623523712158) * X4))) ^ 2)) - (51.839256286621 * X4)))
100,177.75990295410156,18.0,nan,(tanh((322.599914550781 * X2)) * (((((-2863.566406250000) * X2) + (0.718787729740 * X1)) - (((0.039524588734 * X1) - ((((-50.426616668701) * X2) + ((0.007901738398 * X1) ^ 2)) + ((-4.289515018463) * X4))) ^ 2)) - (143.085784912109 * X4)))
74,179.67892456054688,19.0,nan,(tanh((317.064941406250 * X2)) * ((((-2019.877197265625) * X2) + 490.018951416016) - ((((7.591281414032 * X1) - ((((-0.233838886023) * X1) - (((-105.566841125488) * X2) + (-127.118812561035))) ^ 2)) - ((-586.452209472656) * X4)) * (0.029375838116 * X4))))
100,166.33204650878906,20.0,nan,(tanh((324.933868408203 * X2)) * (((((-436.425384521484) * X2) + sqrt((((-3363.265869140625) * X1) - (-3286972.500000000000)))) - (((((-48.963188171387) * X2) + ((-4.540292263031) * X4)) - (65.309066772461 - (0.060721915215 * X1))) ^ 2)) - ((-67.856864929199) * X4)))
89,167.32156372070312,21.0,nan,(tanh((314.927368164062 * X2)) * (((((-489.330322265625) * X2) + (((-2.417374610901) * X1) - (-2675.049072265625))) - ((((-2.995517253876) * X1) - ((43.879035949707 * X2) + ((((-3.078201532364) * X1) + 65.158157348633) / (sqrt(1 + (60.604877471924 * X3) ^ 2))))) ^ 2)) - ((-59.330265045166) * X4)))
100,157.3423309326172,22.0,nan,(tanh((313.365234375000 * X2)) * (((((-3.151230335236) * X1) - (-3403.675537109375)) - (((((-5.037084579468) * X1) - ((5749.044433593750 * X2) + ((((-5.048162460327) * X1) + (((-5742.681152343750) * X2) + 11.245811462402)) / (sqrt(1 + (15.468174934387 * X3) ^ 2))))) ^ 2) ^ 2)) - ((-87.817642211914) * X4)))
100,150.9943084716797,23.0,nan,(tanh((327.778533935547 * X2)) * ((((((-2.730584144592) * X1) - (-2962.423828125000)) / (sqrt(1 + (2.722364187241 * X2) ^ 2))) - ((((-7.186011791229) * X1) - ((27751.476562500000 * X2) + ((((-7.270739078522) * X1) + (((-27720.457031250000) * X2) + 69.161682128906)) / (sqrt(1 + (33.274311065674 * X3) ^ 2))))) ^ 2)) - ((-70.093063354492) * X4)))
100,140.83880615234375,24.0,nan,(tanh((312.627319335938 * X2)) * ((((-317.667816162109) * X2) + 2911.871582031250) - ((((((-1.573735356331) * X1) - ((2912.289794921875 * X2) + ((((-1.587610721588) * X1) + (((-2904.756835937500) * X2) + 12.606609344482)) / (sqrt(1 + (31.207401275635 * X3) ^ 2))))) ^ 2) ^ 2) + ((2.654713153839 * X1) + ((-71.816085815430) * X4)))))
100,123.32421875,25.0,nan,(tanh((317.163269042969 * X2)) * ((1771.433715820312 - ((0.039383664727 * X1) ^ 2)) - ((((((-1.805154919624) * X1) - ((755.681030273438 * X2) + ((((-1.819051504135) * X1) + (((-745.985778808594) * X2) + 12.189611434937)) / (sqrt(1 + (33.956493377686 * X3) ^ 2))))) ^ 2) ^ 2) + ((303.740173339844 * X2) + ((-71.247512817383) * X4)))))
100,118.51053619384766,26.0,nan,(tanh((324.833129882812 * X2)) * ((67.146270751953 * X4) - ((((((-1.301440119743) * X1) - ((2342.205810546875 * X2) + ((((-1.316640257835) * X1) + (((-2333.489257812500) * X2) + 13.308423995972)) / (sqrt(1 + (36.074176788330 * X3) ^ 2))))) ^ 2) ^ 2) + ((2.862281799316 * X1) + ((((-0.352726221085) * X1) / (sqrt(1 + ((-4.058106899261) * X2) ^ 2))) - 2759.805664062500)))))
100,116.38475799560547,27.0,nan,(tanh((321.977722167969 * X2)) * (((((-309.908020019531) * X2) + 888.811950683594) - (((-0.052709177136) * X1) ^ 2)) - ((((((-1.929157137871) * X1) - (((-1038.370117187500) * X2) + ((((-1.943277478218) * X1) + ((1050.046875000000 * X2) + 11.957586288452)) / (sqrt(1 + (37.369220733643 * X3) ^ 2))))) ^ 2) ^ 2) + (((-2.077429056168) * X1) + ((-70.409729003906) * X4)))))
84,118.52297973632812,28.0,nan,(tanh((324.835601806641 * X2)) * (((-0.854156494141) * X4) - ((((((-1.300936102867) * X1) - ((2342.205566406250 * X2) + ((((-1.316136598587) * X1) + (((-2333.489257812500) * X2) + 13.308592796326)) / (sqrt(1 + (36.078529357910 * X3) ^ 2))))) ^ 2) ^ 2) + (((2.862323999405 * X1) + ((-67.999916076660) * X4)) + ((((-0.352766126394) * X1) / (sqrt(1 + ((-4.057926654816) * X2) ^ 2))) - 2759.805664062500)))))
