generation,mse,length,msetest,expr
95,126.69560241699219,27.0,nan,(tanh((317.704895019531 * X2)) * ((((3.784024953842 * X1) + ((-1888.254516601562) * X2)) - ((((-0.059572383761) * X1) - (((-0.649837791920) * X4) + ((-13.414334297180) * X2))) ^ 2)) - ((((-0.004006801639) * X1) + ((((-77.204605102539) + (((-80.690261840820) * X2) - ((-0.091884970665) * X1))) ^ 2) * (0.028939483687 + ((-55.347602844238) * X3)))) ^ 2)))
95,124.85149383544922,28.0,nan,(tanh((321.623413085938 * X2)) * ((((-0.540002405643) * X1) + ((97.098495483398 * X4) + (2830.285156250000 - (1.900987386703 * X1)))) - (((98.151916503906 - (2.290666580200 * X4)) + (((-0.118142738938) * X1) + ((((-71.728691101074) + (((-22.547842025757) * X2) - ((-0.070266984403) * X1))) ^ 2) * ((-0.060986474156) + ((-6.868553161621) * X3))))) ^ 2)))
100,123.60633087158203,29.0,nan,(tanh((316.752593994141 * X2)) * ((((1.538042306900 * X1) + ((-1888.254516601562) * X2)) - ((((-0.070590987802) * X1) - (((-34.474594116211) - (1.218720555305 * X4)) + ((-24.585821151733) * X2))) ^ 2)) - ((((-0.004405715503) * X1) + ((((-68.866195678711) + (((-80.635421752930) * X2) - ((-0.082818679512) * X1))) ^ 2) * (0.029271828011 + ((-55.347602844238) * X3)))) ^ 2)))
100,115.2402572631836,30.0,nan,(tanh(tanh((253.949600219727 * X2))) * (((((-1524.849243164062) * X2) - ((-2.313287258148) * X1)) - ((((-0.075499035418) * X1) - (((-30.733371734619) - (1.214967846870 * X4)) + ((-12.252897262573) * X2))) ^ 2)) - ((((-0.004186151549) * X1) + ((((-112.781082153320) + (((-130.991012573242) * X2) - ((-0.135151714087) * X1))) ^ 2) * (0.014243930578 + ((-27.676086425781) * X3)))) ^ 2)))
100,114.30738067626953,31.0,nan,(tanh((321.627044677734 * X2)) * (((778.433898925781 - (((((-0.002842600690) * X1) + ((((-84.203277587891) + (((-104.458206176758) * X2) - ((-0.101746730506) * X1))) ^ 2) * (0.020860174671 + ((-40.499530792236) * X3)))) + ((-2.524302721024) * X2)) ^ 2)) + ((-981.082336425781) * X2)) - ((((-0.067352145910) * X1) - (((-44.521400451660) - (1.839640736580 * X4)) + ((-14.557948112488) * X2))) ^ 2)))
100,111.5708999633789,32.0,nan,(tanh((322.476287841797 * X2)) * (((779.937744140625 - ((((-0.067117936909) * X1) - (((-44.896141052246) - (1.908553481102 * X4)) + ((-13.613042831421) * X2))) ^ 2)) + ((-952.805053710938) * X2)) - ((((-0.004139838740) * X1) - ((((-0.001097957138) * X1) + ((((-31.792892456055) + (((-36.337135314941) * X2) - ((-0.036774579436) * X1))) ^ 2) * (0.037408828735 + ((-65.011924743652) * X3)))) ^ 2)) ^ 2)))
100,111.17044830322266,33.0,nan,(tanh(tanh((254.206146240234 * X2))) * (((((-1400.411743164062) * X2) - ((-2.896285772324) * X1)) - ((((-0.072048723698) * X1) - (((-21.296609878540) - (1.119337320328 * X4)) + ((-10.005554199219) * X2))) ^ 2)) - ((((-0.002212282969) * X1) + (((((0.011959564872 * X1) - ((11.886463165283 - ((-1296.814941406250) * X3)) + (11.212176322937 * X2))) ^ 2) ^ 2) * (0.025474300608 + ((-38.353164672852) * X3)))) ^ 2)))
63,118.40876770019531,34.0,nan,(tanh((342.131256103516 * X2)) * ((((-37.186473846436) / (sqrt(1 + (118.151130676270 * X2) ^ 2))) + ((62.784408569336 * X4) + ((((4.209777355194 * X1) - ((0.063757613301 * X1) ^ 2)) + ((-98.311889648438) * X2)) / (sqrt(1 + sqrt((1.475787758827 * X2)) ^ 2))))) - ((54.818145751953 + (((-0.047765325755) * X1) + ((((-78.693809509277) + (((-35.911956787109) * X2) - ((-0.068517141044) * X1))) ^ 2) * ((-0.024451233447) + ((-6.686029434204) * X3))))) ^ 2)))
93,111.18199920654297,35.0,nan,(tanh((330.049652099609 * X2)) * ((((-2.772693395615) * X1) - ((-1784.440917968750) / (sqrt(1 + ((-2.615801095963) * X2) ^ 2)))) + (((((-48.642044067383) + (((-87.080482482910) * X2) - ((-0.055572051555) * X1))) ^ 2) + ((80.652862548828 * X4) + 1270.210327148438)) - (((183.238174438477 * X3) + (((-0.194554805756) * X4) + ((((-67.748710632324) + (((-53.446514129639) * X2) - ((-0.064593926072) * X1))) ^ 2) * ((-0.029750902206) + ((-5.292111396790) * X3))))) ^ 2))))
100,106.19300079345703,36.0,nan,(tanh((345.160278320312 * X2)) * ((((((-0.061975222081) * X1) - (((-41.653751373291) - ((-0.574455678463) * X4)) + ((-73.267234802246) * X2))) ^ 2) + ((74.017623901367 * X4) + ((1.652504801750 * (2480.919921875000 + ((-2.502110242844) * X1))) - (((-3878.724609375000) * X2) / (sqrt(1 + sqrt((69.100585937500 * X2)) ^ 2)))))) - (((((-74.065376281738) + (((-53.244716644287) * X2) - ((-0.070725321770) * X1))) ^ 2) * ((-0.025987334549) + ((-4.007789134979) * X3))) ^ 2)))
100,103.23866271972656,37.0,nan,(tanh((339.750030517578 * X2)) * ((2090.115966796875 + ((-2.938145637512) * X1)) + ((((((-1404496.250000000000) * X3) + (21061.572265625000 * X2)) * ((-0.001157330233) - (13.430247306824 * X3))) + ((73.785720825195 * X4) + 1129.807128906250)) - (((((-0.265675663948) / (sqrt(1 + (74.867454528809 * X2) ^ 2))) + (((-0.002844556468) * X1) + ((((-68.613571166992) + (((-36.328578948975) * X2) - ((-0.070563018322) * X1))) ^ 2) * ((-0.004004580434) + ((-1.195857524872) * X3))))) ^ 2) ^ 2))))
96,103.82860565185547,38.0,nan,(tanh((338.210815429688 * X2)) * ((2067.933105468750 + ((-2.853883743286) * X1)) + ((((tanh(((-576173.625000000000) * X2)) + (24024.531250000000 * X2)) * ((-0.005074348301) - (10.964591026306 * X3))) + ((82.988121032715 * X4) + 1107.623535156250)) - (((((-0.319254159927) / (sqrt(1 + (64.813896179199 * X2) ^ 2))) + (((-0.002687311964) * X1) + ((((-68.324584960938) + (((-37.878719329834) * X2) - ((-0.072023861110) * X1))) ^ 2) * ((-0.004394850694) + ((-1.400720834732) * X3))))) ^ 2) ^ 2))))
100,97.29423522949219,39.0,nan,(tanh((371.865692138672 * X2)) * (((((-79.149818420410) / (sqrt(1 + ((-273.883941650391) * X2) ^ 2))) + ((-742.990966796875) * X2)) + ((45.340301513672 * X4) + (2265.629150390625 + ((-1.956583499908) * X1)))) - ((((((-89.373138427734) + (((-12.463021278381) * X2) - ((-0.119426041842) * X1))) ^ 2) * (0.005199680571 + ((-46.516555786133) * X3))) + ((0.009651831351 * X1) + ((((-70.830505371094) + (((-46.633453369141) * X2) - ((-0.074024543166) * X1))) ^ 2) * ((-0.027247948572) + ((-11.515642166138) * X3))))) ^ 2)))
99,99.93995666503906,40.0,nan,(tanh((339.997406005859 * X2)) * ((2063.491210937500 + ((-2.884593486786) * X1)) + ((((((-83.162956237793) + (((-666.426208496094) * X2) - ((-0.086337067187) * X1))) ^ 2) * ((-0.000906682923) - (2.810118198395 * X3))) + ((79.158004760742 * X4) + 1103.182250976562)) - (((((-0.242912575603) / (sqrt(1 + (91.232650756836 * X2) ^ 2))) + (((-0.002366543049) * X1) + ((((-67.792953491211) + (((-35.255737304688) * X2) - ((-0.069184921682) * X1))) ^ 2) * ((-0.004352485761) + ((-1.248987555504) * X3))))) ^ 2) ^ 2))))
88,101.57335662841797,41.0,nan,(tanh((355.165740966797 * X2)) * ((((-0.070775903761) * X1) + ((103.926803588867 * X4) + ((1.495810627937 * (2230.827880859375 + ((-1.867552995682) * X1))) - (((((0.251077294350 * X1) - ((((-440.606689453125) * X4) + (-1031.857421875000)) + (961.530151367188 * X2))) * ((-0.130372419953) - (2104.348876953125 * X3))) + (2594.666992187500 * X2)) / (sqrt(1 + sqrt((103.839797973633 * X2)) ^ 2)))))) - (((((-77.635818481445) + (((-48.448772430420) * X2) - ((-0.082493640482) * X1))) ^ 2) * (0.023419512436 + (7.130876064301 * X3))) ^ 2)))
100,94.9709701538086,42.0,nan,(tanh((344.141448974609 * X2)) * ((((-0.018427371979) * X1) + ((157.572189331055 * X4) + ((1.545241594315 * (2253.913574218750 + ((-1.693884491920) * X1))) - (((((0.192836970091 * X1) - (((27.165077209473 - ((-14.945584297180) * X4)) + ((-23.675069808960) * X2)) ^ 2)) * ((-0.087100870907) - (2274.640869140625 * X3))) + (2444.068115234375 * X2)) / (sqrt(1 + sqrt((34.343318939209 * X2)) ^ 2)))))) - (((((-77.098114013672) + (((-51.391647338867) * X2) - ((-0.087062336504) * X1))) ^ 2) * (0.027898609638 + (11.157629013062 * X3))) ^ 2)))
100,93.87232971191406,43.0,nan,(tanh((341.049591064453 * X2)) * ((2023.203735351562 + ((-2.833873748779) * X1)) + (((((10413.366210937500 * X2) + ((7910.943847656250 * X2) - (1.852458715439 * X1))) * ((2039.146362304688 - (2.735819101334 * X1)) * (0.000005570755 + (0.060632172972 * X3)))) + ((66.316848754883 * X4) + 1062.906005859375)) - (((((-0.230543583632) / (sqrt(1 + (95.073463439941 * X2) ^ 2))) + (((-0.002970715286) * X1) + ((((-67.323715209961) + (((-39.640106201172) * X2) - ((-0.072796136141) * X1))) ^ 2) * ((-0.004677148536) + ((-1.538066983223) * X3))))) ^ 2) ^ 2))))
100,90.01762390136719,44.0,nan,(tanh((336.062438964844 * X2)) * ((((-0.123750649393) * X1) + ((79.285133361816 * X4) + ((((-2.449718713760) * X1) - (-2877.355224609375)) - ((((-7.159955978394) - (1.481062054634 * X4)) - ((((0.003783636726 * X1) - ((0.471614152193 - (1.042541861534 * X4)) + ((-17.844547271729) * X2))) ^ 2) + ((-34.406234741211) * X2))) ^ 2)))) - (((64.149650573730 - (0.911065697670 * X4)) + (((-0.078217104077) * X1) + ((((-71.247726440430) + (((-27.626853942871) * X2) - ((-0.073281995952) * X1))) ^ 2) * ((-0.051601495594) + ((-10.161115646362) * X3))))) ^ 2)))
100,89.56267547607422,45.0,nan,(tanh((334.319274902344 * X2)) * ((((-0.555133938789) * X1) + ((93.170745849609 * X4) + ((((-2.019206523895) * X1) - (-2940.204589843750)) - ((((-2.484702825546) - tanh((335.374206542969 * X2))) - ((((0.003292312846 * X1) - (((-0.340313345194) - (0.978470623493 * X4)) + ((-18.441362380981) * X2))) ^ 2) + ((-65.435928344727) * X2))) ^ 2)))) - (((63.437843322754 - (1.771674156189 * X4)) + (((-0.081477597356) * X1) + ((((-71.728691101074) + (((-26.102710723877) * X2) - ((-0.073132246733) * X1))) ^ 2) * ((-0.050989624113) + ((-8.363259315491) * X3))))) ^ 2)))
56,103.25909423828125,46.0,nan,(tanh((346.430877685547 * X2)) * ((((-40.166088104248) / (sqrt(1 + (127.886795043945 * X2) ^ 2))) + ((((-1105.392456054688) * X2) + 936.067626953125) - ((((-4.942382335663) + (((-2.894854307175) * X2) - (0.004831681959 * X1))) ^ 2) - ((((-2.896886825562) * X2) - (0.109950594604 * X1)) - ((((-5.251042842865) * X2) + (((-0.002714375500) * X1) + ((((-106.416603088379) + (((-118.204460144043) * X2) - ((-0.128936737776) * X1))) ^ 2) * (0.015160812065 + ((-28.870758056641) * X3))))) ^ 2))))) - ((((-0.064303062856) * X1) - (((-43.098781585693) - (1.923651814461 * X4)) + ((-17.497722625732) * X2))) ^ 2)))
60,100.3790054321289,47.0,nan,(tanh((345.519165039062 * X2)) * ((((-37.207656860352) / (sqrt(1 + (132.555068969727 * X2) ^ 2))) + ((((-1263.444702148438) * X2) + 726.183959960938) - (tanh(((-41889.554687500000) * X2)) - ((((17091.851562500000 * X3) - ((10.952289581299 - (0.044001460075 * X4)) + (6.616503715515 * X2))) ^ 2) - ((((-6.378714561462) * X2) + ((0.000385151274 * X1) + ((((-104.782608032227) + (((-125.462814331055) * X2) - ((-0.133753582835) * X1))) ^ 2) * (0.017948411405 + ((-39.795612335205) * X3))))) ^ 2))))) - ((((-0.065284810960) * X1) - (((-48.473453521729) - (3.439708471298 * X4)) + ((-16.466110229492) * X2))) ^ 2)))
100,88.85315704345703,48.0,nan,(tanh((336.081970214844 * X2)) * ((((-2.637742996216) * X1) + ((83.823036193848 * X4) + (((((-6.938968658447) - (3.249961376190 * X4)) + ((-277.038421630859) * X2)) - (-2940.204589843750)) - ((((-2.800808906555) - ((-0.355539143085) * X4)) - ((((0.004542727489 * X1) - ((0.372741103172 - (0.981426000595 * X4)) + ((-17.447267532349) * X2))) ^ 2) + ((-70.519775390625) * X2))) ^ 2)))) - (((56.054626464844 - (1.705067157745 * X4)) + (((-0.059998895973) * X1) + ((((-71.728691101074) + (((-22.253175735474) * X2) - ((-0.065662190318) * X1))) ^ 2) * ((-0.043047323823) + ((-5.179047584534) * X3))))) ^ 2)))
60,98.87828063964844,49.0,nan,(tanh((332.877044677734 * X2)) * (((14.094289779663 + (((-646.058288574219) * X2) - ((-0.351613402367) * X1))) + ((53.554859161377 * X4) + ((1.486475825310 * (1948.002929687500 + ((-2.095799446106) * X1))) - (((((48.541496276855 * X1) - (((((-0.045189253986) * X1) - (((-47.353504180908) - (1.079719305038 * X4)) + (128.187789916992 * X2))) ^ 2) ^ 2)) * (0.000139398864 - (0.981614947319 * X3))) + ((-1753.190795898438) * X2)) / (sqrt(1 + sqrt((71.823860168457 * X2)) ^ 2)))))) - (((((-76.249015808105) + (((-43.929832458496) * X2) - ((-0.081204205751) * X1))) ^ 2) * ((-0.023927325383) + ((-10.205362319946) * X3))) ^ 2)))
100,84.82694244384766,50.0,nan,(tanh((334.240753173828 * X2)) * (((0.043070368469 * X1) + (((((0.239079728723 * X1) - ((-59.631130218506) * X4)) - (-0.385154992342)) / (sqrt(1 + (52.862537384033 * X2) ^ 2))) + ((((-2.664370059967) * X1) - (-2688.640869140625)) - (((10.067733764648 - ((-1.090394139290) * X4)) - ((((0.003203495638 * X1) - (((-3.306573390961) - (1.439173936844 * X4)) + ((-11.594905853271) * X2))) ^ 2) + ((-23.578540802002) * X2))) ^ 2)))) - (((66.594345092773 - ((-1.628071069717) * X4)) + (((-0.075546272099) * X1) + ((((-70.372703552246) + (((-31.785034179688) * X2) - ((-0.074722491205) * X1))) ^ 2) * ((-0.048407293856) + ((-14.963496208191) * X3))))) ^ 2)))
