length,cv_score,cv_stderr
1.0,24160.37954610321,5892.627445015482
2.0,25194.122769493613,5889.220022831265
3.0,5253.16779760864,789.8036171230883
4.0,4869.321752744499,483.8765265919678
5.0,4252.345457934924,792.5698082814113
6.0,2709.538755198061,365.6814034177535
7.0,2352.9063926726326,294.2321366094196
8.0,1315.1006525507937,359.5407961106593
9.0,763.048516047292,151.65336526258014
10.0,1040.2521841941625,278.90286793196583
11.0,624.4677961756003,77.49257334715281
12.0,1819.8232867656918,789.4586352989304
13.0,1228.294116299546,440.8094797152406
14.0,1235.9312253957003,676.6321544550199
15.0,541.72661205078,146.07126499541025
16.0,528.2354522349244,150.9227922446543
17.0,353.11819968382923,91.32031771583291
18.0,278.00834651608113,32.381862594511766
19.0,351.0663813613813,55.137261403836575
20.0,288.0369156570442,50.93174239721202
21.0,584.2605373508035,215.62430534486683
22.0,435.6199075314271,203.16365478895244
23.0,1521.6609431441093,986.0507190209697
24.0,873.2786574340561,587.6708241832604
25.0,1285.8580269130898,1001.1149602908571
26.0,460.016874500395,192.2828696343393
27.0,956.1542638503769,515.4686141617087
28.0,1498.0878120599198,1074.9844451988495
29.0,1050.8144563570297,632.1047321375183
30.0,882.8358665984989,526.0405759004716
31.0,1056.3572877106633,626.4014860440732
32.0,21371.63054153912,21040.564820679443
33.0,1043.1253408206117,603.7661725238036
34.0,3867.0272942626216,3364.015936619054
35.0,1594.9439740101725,1154.5271345112785
36.0,48581.01639665573,48114.46197473127
37.0,737.5341302836017,378.69173419223915
38.0,37973.28505862606,37544.20495742875
39.0,10072.880555525526,9762.736279737219
40.0,1030.5432946705835,553.029153704362
41.0,22851.84879041827,22451.116309451903
42.0,651.8247710775335,251.77428231182822
43.0,9682.573221250734,9363.321064062675
44.0,8529.333898542613,8113.116293226302
45.0,42529.57418814744,42133.95638256263
46.0,4128.615371682688,3630.494149168665
47.0,18668.948671617283,18272.76121583697
48.0,21246.52631328174,20636.252958112684
49.0,28266.361849002315,27568.07157892863
50.0,11143.69363990502,10343.686835075392
51.0,40423.8952613459,39784.05452030418
52.0,27225.83092026702,26451.61716891158
53.0,90396.84522514857,89390.19821370053
54.0,4483.515468945725,3965.9894614041596
55.0,4723.011209700557,3948.404340751709
56.0,1982.8598123430845,1367.888408146625
57.0,3919.1542234330873,2776.6082269146787
58.0,10193.310611675639,9738.705775938643
59.0,75438.33555674343,73671.54994016966
60.0,1007.0115780763709,599.2632341977682
61.0,1858.593397033174,1028.8541006468795
62.0,13207.138614233607,12482.950400465435
63.0,8213.61440637996,6251.715812614365
64.0,16259.112821518418,14060.492889045689
65.0,1601.5551173390138,887.956427797471
66.0,1474.807852055506,758.8908031576605
67.0,7044.7809845294705,4234.860168584992
68.0,175623.93572163177,168637.85893925023
69.0,207657.37558308995,206291.93190767211
70.0,958.6591625805557,543.1455583404465
71.0,1656.704560983292,1076.9329356052558
72.0,161519.8303669371,161008.98935100166
73.0,203541.73513212914,202752.76909819405
74.0,384.9135842309387,89.2117064061403
75.0,587.2312083135319,129.72375122166636
76.0,141523.4272545233,141016.9755588763
77.0,119059.71169531764,118464.2550090896
79.0,164357.32074919628,163943.74693237938
81.0,992.6489955369442,535.2664481354608
82.0,92197.04288233654,91340.7406935832
83.0,74741.14204013773,74336.11021409836
85.0,2244.1326122540327,1276.6881517242446
88.0,2739.9568636081763,2398.354650098213
91.0,2328.8053791316247,1174.6031843682244
92.0,1575.1251527599686,952.0144228407283
93.0,1157.6575372758286,587.5019361404785
94.0,1226.9638312354807,521.7387363809436
95.0,1663.8660126692148,604.7208934076668
97.0,901.3082432948195,223.21972176543798
98.0,1801.1956580178826,1147.4004725999953
99.0,759.4619301362418,239.10504915007579
100.0,824.9061517479678,270.96632589642013
78.0,210299.45972540884,209639.44534260442
80.0,190139.242442278,189456.96082370574
84.0,1561.4084027949248,499.8794483936528
86.0,7343.375416309602,6484.090896427479
87.0,3499.17535231769,2499.2613881096295
89.0,1393.803291242104,715.8224601949419
90.0,2110.0180741051204,874.8474573237861
96.0,1652.106098323895,661.8100830937193
