23-1_DIL_179-18_AA6082_average.asc    T=375∞C    phi∞=1.0    Yield=0.1118499
                Zeit   /    Temperatur   /    Phi   /    Flieﬂspannung kf
                  s              ∞C              -              MPa
     4        0.00000000    374.84925843    -0.00007033     0.11184990
     5        0.00279426    374.84900287    -0.00005887     0.14616009
     6        0.00558853    374.85040865    -0.00004899     0.17841248
     7        0.00837708    374.85419409    -0.00004146     0.19575529
     8        0.01116371    374.86032975    -0.00003658     0.19559722
     9        0.01395035    374.86775518    -0.00003409     0.19189478
    10        0.01674270    374.87456216    -0.00003330     0.19983979
    11        0.01953506    374.87869166    -0.00003336     0.21661663
    12        0.02232361    374.87882989    -0.00003361     0.22965243
    13        0.02511215    374.87500959    -0.00003378     0.23346341
    14        0.02790069    374.86852386    -0.00003384     0.22928341
    15        0.03069497    374.86120343    -0.00003381     0.22110480
    16        0.03348160    374.85456227    -0.00003357     0.21675641
    17        0.03627777    374.84930759    -0.00003291     0.22020691
    18        0.03906441    374.84533435    -0.00003174     0.22497852
    19        0.04185105    374.84205446    -0.00003009     0.22580586
    20        0.04463959    374.83884067    -0.00002808     0.22418120
    21        0.04742623    374.83531019    -0.00002581     0.22072972
    22        0.05021859    374.83122110    -0.00002332     0.21542236
    23        0.05300522    374.82610882    -0.00002062     0.20888851
    24        0.05580521    374.81916529    -0.00001765     0.19882282
    25        0.05859375    374.80967939    -0.00001437     0.18551884
    26        0.06138420    374.79767257    -0.00001090     0.17770555
    27        0.06417084    374.78403860    -0.00000758     0.17286005
    28        0.06695938    374.77003588    -0.00000482     0.15904418
    29        0.06974983    374.75672581    -0.00000290     0.14707889
    30        0.07253838    374.74493989    -0.00000185     0.15214150
    31        0.07533074    374.73564716    -0.00000164     0.16325647
    32        0.07812119    374.73011328    -0.00000207     0.16418779
    33        0.08090782    374.72950812    -0.00000223     0.15871764
    34        0.08370018    374.73422683     0.00000108     0.15763558
    35        0.08649063    374.74351517     0.00001554     0.16118812
    36        0.08927918    374.75579469     0.00005495     0.16968643
    37        0.09206963    374.76949922     0.00013915     0.18973982
    38        0.09486008    374.78369926     0.00029198     0.26964852
    39        0.09765053    374.79790562     0.00053943     0.62929106
    40        0.10044289    374.81131171     0.00091009     1.81867081
    41        0.10323143    374.82248239     0.00143720     4.66346999
    42        0.10591697    374.83012459     0.00215893     9.85785791
    43        0.10870171    374.83437070     0.00311370     17.45318936
    44        0.11149406    374.83734600     0.00433130     26.55109931
    45        0.11428833    374.84240450     0.00582464     35.58788182
    46        0.11707497    374.85258977     0.00758622     43.24540833
    47        0.11986542    374.86947463     0.00959076     49.05763221
    48        0.12265205    374.89312850     0.01180175     53.22241721
    49        0.12544251    374.92298934     0.01417871     56.16712521
    50        0.12823486    374.95873293     0.01668290     58.28288586
    51        0.13102722    375.00040801     0.01928071     59.84943502
    52        0.13381005    375.04789168     0.02194490     61.05474265
    53        0.13660813    375.10032240     0.02465432     62.01844025
    54        0.13939476    375.15608423     0.02739290     62.80931751
    55        0.14218903    375.21333745     0.03014850     63.46690342
    56        0.14497757    375.27060498     0.03291188     64.01902059
    57        0.14776802    375.32696612     0.03567613     64.48442048
    58        0.15055275    375.38187349     0.03843630     64.87508628
    59        0.15334321    375.43493291     0.04118917     65.20664406
    60        0.15613747    375.48583124     0.04393295     65.49563300
    61        0.15892029    375.53430012     0.04666707     65.75058449
    62        0.16171265    375.58002561     0.04939196     65.97597751
    63        0.16450119    375.62261217     0.05210892     66.17811058
    64        0.16729546    375.66168626     0.05481980     66.36306849
    65        0.17008591    375.69705760     0.05752672     66.53192862
    66        0.17287636    375.72888342     0.06023159     66.68486246
    67        0.17566681    375.75790436     0.06293584     66.82498987
    68        0.17845536    375.78568251     0.06564035     66.95304497
    69        0.18124199    375.81448734     0.06834559     67.07033028
    70        0.18402862    375.84656695     0.07105201     67.18218454
    71        0.18682098    375.88309717     0.07376019     67.29252820
