53-3_DIL_202-19_AA6082_average.asc    T=200∞C    phi∞=0.1    Yield=0.19350939
                Zeit   /    Temperatur   /    Phi   /    Flieﬂspannung kf
                  s              ∞C              -              MPa
     4        0.00000000    200.26126098     0.00002411     0.19350939
     5        0.01900292    200.28896502     0.00023250     2.64746775
     6        0.03800202    200.31802671     0.00047256     6.23109686
     7        0.05609322    200.34885630     0.00075260     11.47678454
     8        0.07509422    200.38191980     0.00109311     18.65863058
     9        0.09408951    200.41789225     0.00153914     27.71295016
    10        0.11308479    200.45717600     0.00215116     38.14533526
    11        0.13208580    200.49900504     0.00298060     49.05083984
    12        0.15109062    200.54069501     0.00404806     59.39326183
    13        0.17008782    200.57776782     0.00533260     68.41416898
    14        0.18908883    200.60538993     0.00678155     75.83696020
    15        0.20808793    200.62055274     0.00833868     81.76594757
    16        0.22709465    200.62359267     0.00996234     86.47986156
    17        0.24608993    200.61808766     0.01162353     90.28598458
    18        0.26508904    200.60940850     0.01330288     93.44763368
    19        0.28409004    200.60290165     0.01499223     96.15679470
    20        0.30309105    200.60247103     0.01669317     98.53644312
    21        0.32208825    200.60986113     0.01841157     100.66003509
    22        0.34109497    200.62464702     0.02015257     102.57279861
    23        0.36009407    200.64472511     0.02191801     104.30485888
    24        0.37909698    200.66696207     0.02370536     105.87905303
    25        0.39809417    200.68774321     0.02550776     107.31635006
    26        0.41709518    200.70339626     0.02731668     108.63634990
    27        0.43609047    200.71057789     0.02912629     109.85419188
    28        0.45509529    200.70665864     0.03093516     110.97926326
    29        0.47409440    200.69012779     0.03274455     112.01743407
    30        0.49309540    200.66102319     0.03455610     112.97401613
    31        0.51209069    200.62115932     0.03637125     113.85432793
    32        0.53109169    200.57372635     0.03819070     114.66451980
    33        0.55009461    200.52216000     0.04001172     115.41607458
    34        0.56909370    200.46885853     0.04183048     116.12369887
    35        0.58809089    200.41456711     0.04364766     116.79477636
    36        0.60709191    200.35876902     0.04546673     117.42848315
    37        0.62609672    200.30072578     0.04728967     118.02478797
    38        0.64508629    200.24046041     0.04911635     118.58752982
    39        0.66408348    200.17913881     0.05094504     119.12025615
    40        0.68308449    200.11881295     0.05277439     119.62463782
    41        0.70209122    200.06190401     0.05460404     120.10441933
    42        0.72109222    200.01071948     0.05643346     120.56459742
    43        0.74008751    199.96697078     0.05826321     121.00503874
    44        0.75909042    199.93130287     0.06009470     121.42289835
    45        0.77808762    199.90318858     0.06192726     121.82019775
    46        0.79709435    199.88147149     0.06375895     122.20246066
    47        0.81608963    199.86519916     0.06558899     122.57276046
    48        0.83508683    199.85396180     0.06741840     122.93054433
    49        0.85408974    199.84745413     0.06924914     123.27535952
    50        0.87309265    199.84492139     0.07108108     123.60991161
    51        0.89208984    199.84529190     0.07291295     123.93550157
    52        0.91109276    199.84789704     0.07474698     124.24703814
    53        0.93008804    199.85294135     0.07658667     124.53894724
    54        0.94909477    199.86125206     0.07843053     124.81221903
    55        0.96808815    199.87371614     0.08027253     125.07300608
    56        0.98708915    199.89104640     0.08210892     125.32652022
    57        1.00608253    199.91394848     0.08394230     125.57197966
    58        1.02509308    199.94324388     0.08577774     125.80525177
    59        1.04408646    199.97963544     0.08761759     126.02585052
    60        1.06309319    200.02323992     0.08946097     126.23816482
    61        1.08209038    200.07320025     0.09130488     126.44631484
    62        1.10108948    200.12761838     0.09314645     126.65023596
    63        1.12009239    200.18393481     0.09498551     126.84775616
    64        1.13909150    200.23967553     0.09682469     127.03739192
    65        1.15809440    200.29319483     0.09866672     127.21836725
    66        1.17709732    200.34398154     0.10051179     127.39178443
    67        1.19609070    200.39240020     0.10235771     127.56135450
    68        1.21508789    200.43906486     0.10420127     127.73126393
    69        1.23408890    200.48412721     0.10603990     127.90397549
    70        1.25308990    200.52679803     0.10787458     128.07884170
    71        1.27208710    200.56547563     0.10970941     128.25305789
    72        1.29109002    200.59852308     0.11154820     128.42495184
    73        1.31008721    200.62504796     0.11339204     128.59505944
    74        1.32909203    200.64490739     0.11523794     128.76500243
    75        1.34808541    200.65801416     0.11708088     128.93615635
    76        1.36708831    200.66382730     0.11891917     129.10759766
    77        1.38609314    200.66160079     0.12075601     129.27597401
    78        1.40509033    200.65100456     0.12259477     129.43937498
    79        1.42409706    200.63238646     0.12443566     129.59971254
    80        1.44309044    200.60653400     0.12627817     129.75969630
    81        1.46209336    200.57444143     0.12812176     129.92076262
    82        1.48109054    200.53745856     0.12996372     130.08401476
    83        1.50009728    200.49755795     0.13180218     130.24935262
    84        1.51909447    200.45719482     0.13363910     130.41533503
    85        1.53809166    200.41863329     0.13547704     130.58049551
    86        1.55709457    200.38315331     0.13731676     130.74242226
    87        1.57608795    200.35071284     0.13915816     130.89890283
    88        1.59509277    200.32031618     0.14100033     131.05140537
    89        1.61409378    200.29076481     0.14284198     131.20282820
    90        1.63308906    200.26116240     0.14468253     131.35356218
    91        1.65208817    200.23087157     0.14652164     131.50309013
    92        1.67109871    200.19923369     0.14835954     131.65153202
    93        1.69008637    200.16559568     0.15019911     131.79805048
    94        1.70908928    200.12985526     0.15204388     131.94047786
    95        1.72808838    200.09318553     0.15389271     132.07845120
    96        1.74709321    200.05825124     0.15574073     132.21431656
    97        1.76608848    200.02842158     0.15758581     132.34789258
    98        1.78509140    200.00628455     0.15942942     132.47625277
    99        1.80409813    199.99254945     0.16127206     132.60016649
   100        1.82309723    199.98621410     0.16311307     132.72289064
   101        1.84209061    199.98566818     0.16495314     132.84430974
   102        1.86108971    199.98954312     0.16679353     132.96197316
   103        1.88009262    199.99665004     0.16863459     133.07584131
   104        1.89908982    200.00554718     0.17047499     133.18915463
   105        1.91809273    200.01460097     0.17231306     133.30415758
   106        1.93708992    200.02255851     0.17415038     133.41917312
   107        1.95608902    200.02889356     0.17599061     133.53112692
   108        1.97509003    200.03354527     0.17783346     133.63955783
   109        1.99409485    200.03651831     0.17967475     133.74723008
   110        2.01308251    200.03787357     0.18151386     133.85527854
   111        2.03209496    200.03792827     0.18335453     133.96133679
   112        2.05109597    200.03718251     0.18519696     134.06546480
   113        2.07008934    200.03598109     0.18703710     134.17093166
   114        2.08908844    200.03432114     0.18887386     134.27814915
   115        2.10809708    200.03193923     0.19071037     134.38417550
   116        2.12709427    200.02841104     0.19254932     134.48690857
   117        2.14609337    200.02316494     0.19439002     134.58673405
   118        2.16508675    200.01576191     0.19623046     134.68410000
   119        2.18408966    200.00669687     0.19807109     134.77641398
   120        2.20309067    199.99825877     0.19991401     134.86035617
   121        2.22209549    199.99456198     0.20175941     134.93742643
   122        2.24108315    200.00037906     0.20360431     135.01472155
   123        2.26008606    200.01937589     0.20544482     135.09826922
   124        2.27909661    200.05280425     0.20727974     135.18633452
   125        2.29808998    200.09926478     0.20911168     135.27198290
   126        2.31708908    200.15532224     0.21094543     135.34974950
