26-1_DIL_179-18_AA6082_average.asc    T=450∞C    phi∞=1.0    Yield=0.15032368
                Zeit   /    Temperatur   /    Phi   /    Flieﬂspannung kf
                  s              ∞C              -              MPa
     4        0.00000000    449.86799622    -0.00011722     0.15032368
     5        0.00278855    449.87805113    -0.00011837     0.20003796
     6        0.00557709    449.88112942    -0.00011804     0.23555123
     7        0.00837326    449.87585675    -0.00011603     0.25662970
     8        0.01116181    449.86382882    -0.00011279     0.25970860
     9        0.01395417    449.84858659    -0.00010924     0.24755420
    10        0.01674270    449.83384010    -0.00010632     0.23169280
    11        0.01953316    449.82187125    -0.00010459     0.22290189
    12        0.02232170    449.81294032    -0.00010406     0.22641472
    13        0.02511025    449.80580014    -0.00010430     0.23698683
    14        0.02789688    449.79876732    -0.00010477     0.24719046
    15        0.03068733    449.79063572    -0.00010514     0.25561923
    16        0.03347779    449.78098817    -0.00010535     0.26008095
    17        0.03626442    449.76996061    -0.00010546     0.25827519
    18        0.03905869    449.75791911    -0.00010544     0.25495934
    19        0.04185486    449.74546919    -0.00010520     0.25598085
    20        0.04464341    449.73373253    -0.00010474     0.25763623
    21        0.04743194    449.72439028    -0.00010425     0.25100936
    22        0.05022049    449.71911568    -0.00010403     0.23859434
    23        0.05301857    449.71865146    -0.00010433     0.23299302
    24        0.05579949    449.72226942    -0.00010512     0.23855007
    25        0.05858803    449.72810466    -0.00010617     0.25000746
    26        0.06138229    449.73412576    -0.00010708     0.25954508
    27        0.06416893    449.73906207    -0.00010738     0.26224784
    28        0.06695747    449.74279709    -0.00010676     0.26238150
    29        0.06975174    449.74618013    -0.00010513     0.26401332
    30        0.07254028    449.75045638    -0.00010266     0.26366430
    31        0.07532882    449.75654246    -0.00009960     0.25783622
    32        0.07811546    449.76441102    -0.00009568     0.24637741
    33        0.08091545    449.77292681    -0.00008883     0.23581749
    34        0.08370018    449.78036310    -0.00007321     0.23411123
    35        0.08649444    449.78539104    -0.00003703     0.23715781
    36        0.08927536    449.78788829     0.00003838     0.23501743
    37        0.09206772    449.78896260     0.00017762     0.25756947
    38        0.09485626    449.79021603     0.00040965     0.47671616
    39        0.09765053    449.79291748     0.00076763     1.34321167
    40        0.10044098    449.79775239     0.00128986     3.64601719
    41        0.10322952    449.80517014     0.00201863     8.22364595
    42        0.10577583    449.81576039     0.00299447     15.21121960
    43        0.10856819    449.83021388     0.00424690     23.49573033
    44        0.11135865    449.84905334     0.00578642     31.28998885
    45        0.11414909    449.87257674     0.00760183     37.34959722
    46        0.11693955    449.90098135     0.00966366     41.45850325
    47        0.11973000    449.93420310     0.01193147     44.02027592
    48        0.12252044    449.97140092     0.01436177     45.56314936
    49        0.12530899    450.01071320     0.01691401     46.51206880
    50        0.12810325    450.04980921     0.01955372     47.13298660
    51        0.13089371    450.08692342     0.02225338     47.56207390
    52        0.13367653    450.12160452     0.02499180     47.87079933
    53        0.13646317    450.15476339     0.02775304     48.10680920
    54        0.13926125    450.18812885     0.03052518     48.29500495
    55        0.14204979    450.22342362     0.03329940     48.44065119
    56        0.14484024    450.26162938     0.03606952     48.54820204
    57        0.14763260    450.30272309     0.03883165     48.63169449
    58        0.15041924    450.34599297     0.04158394     48.70651903
    59        0.15321159    450.39057354     0.04432613     48.77520824
    60        0.15600204    450.43571599     0.04705902     48.83293272
    61        0.15879250    450.48066124     0.04978402     48.88333922
    62        0.16158485    450.52433499     0.05250280     48.93436685
    63        0.16437149    450.56517726     0.05521717     48.98635102
    64        0.16716004    450.60139862     0.05792896     49.03606989
    65        0.16995049    450.63173682     0.06063985     49.08563774
    66        0.17273903    450.65624831     0.06335111     49.13658697
    67        0.17552948    450.67637119     0.06606348     49.18152237
    68        0.17831612    450.69406254     0.06877734     49.21675164
    69        0.18110848    450.71072471     0.07149299     49.25278625
    70        0.18389702    450.72677949     0.07421064     49.29538169
    71        0.18668746    450.74201549     0.07693033     49.33631820
    72        0.18947792    450.75616914     0.07965189     49.37054176
    73        0.19226838    450.76924171     0.08237513     49.40124900
    74        0.19507027    450.78147431     0.08509996     49.43188138
    75        0.19785118    450.79313846     0.08782644     49.46489040
    76        0.20064163    450.80429553     0.09055460     49.50048018
    77        0.20343208    450.81465321     0.09328432     49.53423970
    78        0.20622253    450.82359308     0.09601533     49.56421747
    79        0.20901108    450.83032128     0.09874730     49.59326876
    80        0.21180153    450.83408721     0.10148004     49.62151105
    81        0.21459580    450.83452582     0.10421347     49.65004549
    82        0.21737480    450.83208896     0.10694746     49.68117347
    83        0.22016334    450.82820399     0.10968167     49.70855115
    84        0.22296143    450.82471340     0.11241570     49.72846100
    85        0.22574997    450.82268046     0.11514945     49.74882564
    86        0.22854233    450.82144297     0.11788323     49.77455610
    87        0.23133659    450.81891298     0.12061765     49.80403916
    88        0.23412323    450.81308844     0.12335307     49.83463269
    89        0.23690223    450.80352500     0.12608936     49.86071291
    90        0.23970413    450.79155611     0.12882603     49.87781815
    91        0.24249649    450.77930706     0.13156258     49.89161872
    92        0.24528122    450.76852793     0.13429878     49.91355117
    93        0.24806977    450.76006120     0.13703472     49.94528447
    94        0.25086212    450.75394285     0.13977068     49.97867415
    95        0.25364685    450.74965535     0.14250693     50.00873624
    96        0.25644493    450.74616155     0.14524378     50.03530555
    97        0.25923348    450.74176945     0.14798163     50.05898913
    98        0.26202202    450.73426027     0.15072105     50.08079654
    99        0.26481438    450.72167971     0.15346257     50.09934915
   100        0.26760482    450.70354626     0.15620632     50.11357411
   101        0.27039528    450.68153855     0.15895173     50.12504148
   102        0.27318192    450.65894315     0.16169761     50.13337735
   103        0.27597809    450.63917675     0.16444265     50.14257161
   104        0.27876663    450.62435668     0.16718598     50.15844975
   105        0.28155136    450.61461485     0.16992747     50.18003627
   106        0.28434944    450.60826388     0.17266771     50.20626322
   107        0.28713798    450.60263718     0.17540755     50.23522233
   108        0.28992462    450.59529360     0.17814764     50.26149286
   109        0.29271507    450.58509596     0.18088814     50.28087733
   110        0.29550361    450.57267501     0.18362867     50.28986964
   111        0.29828835    450.56011483     0.18636856     50.29084508
   112        0.30108071    450.55003952     0.18910711     50.29451475
   113        0.30386543    450.54446197     0.19184391     50.30575461
