08-1_DIL_179-18_AA6082_average.asc    T=350∞C    phi∞=0.01    Yield=0.27557453
                Zeit   /    Temperatur   /    Phi   /    Flieﬂspannung kf
                  s              ∞C              -              MPa
     4        0.00000000    350.23933411     0.00001078     0.27557453
     5        0.16298866    350.22469451     0.00001602     0.25497998
     6        0.32597542    350.21372628     0.00002026     0.24617774
     7        0.48897171    350.20705660     0.00002345     0.24507180
     8        0.65195656    350.20365976     0.00002596     0.24228714
     9        0.81495094    350.20149299     0.00002827     0.24034401
    10        0.97794152    350.19854134     0.00003066     0.24261795
    11        1.14092064    350.19368543     0.00003305     0.24547451
    12        1.30391503    350.18701720     0.00003515     0.24595763
    13        1.46690750    350.17965375     0.00003656     0.24355859
    14        1.62990379    350.17320617     0.00003703     0.24010940
    15        1.79289055    350.16896217     0.00003654     0.23758022
    16        1.95588112    350.16704340     0.00003537     0.23750108
    17        2.11886978    350.16619098     0.00003410     0.24272081
    18        2.28185654    350.16465909     0.00003327     0.25279461
    19        2.44484711    350.16174786     0.00003321     0.26157356
    20        2.60783387    350.15869716     0.00003389     0.26311837
    21        2.77082825    350.15798126     0.00003510     0.25837323
    22        2.93382263    350.16136552     0.00003671     0.25365307
    23        3.09680939    350.16824680     0.00003868     0.25303923
    24        3.25979805    350.17565351     0.00004104     0.25581279
    25        3.42278290    350.17990498     0.00004376     0.25795030
    26        3.58577728    350.17866256     0.00004671     0.25626460
    27        3.74876213    350.17201299     0.00004981     0.25279182
    28        3.91176415    350.16206417     0.00005299     0.24618771
    29        4.07475281    350.15151927     0.00005619     0.23132850
    30        4.23773575    350.14229333     0.00005931     0.21588033
    31        4.40073014    350.13507224     0.00006220     0.21199766
    32        4.56371689    350.12984294     0.00006470     0.21985134
    33        4.72671509    350.12663767     0.00006664     0.22982247
    34        4.88970184    350.12576788     0.00006782     0.23119470
    35        5.05269051    350.12749055     0.00006809     0.22463022
    36        5.21568489    350.13160006     0.00006742     0.22122982
    37        5.37866783    350.13741542     0.00006604     0.22880117
    38        5.54166222    350.14417907     0.00006430     0.24421758
    39        5.70465088    350.15146955     0.00006258     0.25862757
    40        5.86764527    350.15921421     0.00006109     0.26311417
    41        6.03062820    350.16726147     0.00006001     0.25378140
    42        6.19361306    350.17491838     0.00005952     0.24306964
    43        6.35660553    350.18097603     0.00005978     0.24401360
