57-1_DIL_202-19_AA6082_average.asc    T=250∞C    phi∞=1.0    Yield=0.25467529
                Zeit   /    Temperatur   /    Phi   /    Flieﬂspannung kf
                  s              ∞C              -              MPa
     4        0.00000000    250.05988311     0.00004132     0.25467529
     5        0.00279809    250.07871978     0.00049274     6.22060923
     6        0.00542642    250.09844812     0.00105406     14.70554297
     7        0.00821495    250.11978846     0.00184713     25.87994830
     8        0.01100350    250.14357907     0.00299557     38.49885537
     9        0.01379586    250.17076838     0.00455354     50.79921002
    10        0.01658440    250.20235408     0.00648315     61.52672178
    11        0.01937104    250.23930901     0.00869474     70.25527734
    12        0.02216149    250.28250298     0.01109874     77.12757899
    13        0.02495384    250.33255635     0.01363000     82.50698381
    14        0.02774430    250.38962944     0.01624521     86.76708174
    15        0.03053284    250.45325940     0.01891527     90.20817400
    16        0.03331948    250.52235163     0.02162305     93.04387838
    17        0.03612138    250.59538321     0.02436025     95.42185557
    18        0.03890610    250.67082019     0.02712172     97.44617882
    19        0.04169656    250.74761987     0.02990108     99.18862396
    20        0.04448319    250.82556079     0.03269004     100.69826047
    21        0.04727173    250.90518747     0.03548035     102.01114764
    22        0.05006790    250.98738964     0.03826443     103.15699998
    23        0.05286026    251.07285970     0.04103490     104.16256885
    24        0.05564881    251.16168622     0.04378677     105.05142116
    25        0.05843545    251.25321218     0.04652051     105.84305881
    26        0.06122590    251.34625797     0.04924047     106.55494854
    27        0.06402016    251.43979358     0.05195014     107.20336110
    28        0.06680870    251.53378438     0.05465189     107.79873026
    29        0.06959915    251.62945668     0.05734877     108.34515699
    30        0.07238389    251.72844620     0.06004224     108.84882876
    31        0.07517433    251.83129454     0.06273013     109.32178214
    32        0.07796288    251.93648821     0.06541058     109.77447536
    33        0.08075333    252.04084752     0.06808705     110.20925362
    34        0.08353997    252.14099545     0.07076651     110.62264025
    35        0.08633042    252.23488612     0.07345294     111.01098906
    36        0.08911897    252.32244435     0.07614459     111.37445880
    37        0.09192086    252.40507670     0.07883811     111.71707880
    38        0.09470368    252.48462688     0.08153192     112.04412461
    39        0.09749604    252.56260831     0.08422511     112.35963907
    40        0.10028267    252.64002231     0.08691860     112.66361650
    41        0.10307503    252.71740383     0.08961646     112.95205778
    42        0.10586167    252.79472228     0.09232100     113.22296965
    43        0.10865021    252.87127191     0.09502950     113.48080948
    44        0.11144257    252.94592582     0.09773845     113.73234680
    45        0.11423112    253.01778915     0.10044718     113.97954483
    46        0.11702920    253.08683616     0.10315770     114.21874849
    47        0.11981774    253.15408033     0.10587182     114.44713665
    48        0.12261010    253.22117853     0.10858749     114.66664902
    49        0.12540245    253.28973001     0.11130145     114.87967124
    50        0.12819100    253.36066355     0.11401333     115.08610862
    51        0.13097382    253.43401435     0.11672389     115.28610131
    52        0.13376428    253.50913820     0.11943351     115.47992141
    53        0.13655282    253.58513434     0.12214254     115.66604689
    54        0.13934517    253.66117138     0.12485155     115.84354345
    55        0.14213181    253.73658121     0.12756240     116.01446209
    56        0.14491654    253.81079132     0.13027828     116.18133248
    57        0.14771462    253.88324433     0.13300111     116.34370916
    58        0.15050507    253.95344296     0.13572835     116.50121401
    59        0.15329361    254.02116724     0.13845449     116.65714015
    60        0.15608407    254.08670450     0.14117712     116.81277501
    61        0.15887643    254.15080294     0.14389760     116.96424946
    62        0.16166496    254.21426632     0.14661660     117.10940474
    63        0.16445352    254.27750646     0.14933387     117.25074832
    64        0.16724206    254.34048141     0.15205071     117.38983684
    65        0.17003632    254.40307750     0.15476991     117.52364605
    66        0.17282487    254.46553561     0.15749325     117.64880435
    67        0.17561532    254.52846281     0.16021922     117.76724269
    68        0.17840195    254.59234169     0.16294324     117.88488505
    69        0.18118859    254.65693290     0.16566204     118.00454250
    70        0.18398476    254.72120866     0.16837710     118.12396237
    71        0.18677522    254.78413281     0.17109129     118.24103245
    72        0.18956757    254.84576052     0.17380762     118.35351512
    73        0.19234848    254.90759774     0.17653058     118.45743305
    74        0.19514085    254.97173940     0.17926104     118.55333319
    75        0.19793702    255.03947825     0.18199283     118.64826649
    76        0.20071984    255.11052023     0.18471975     118.74783358
    77        0.20351411    255.18327471     0.18744254     118.85022459
    78        0.20630455    255.25579083     0.19016523     118.94997464
    79        0.20909691    255.32660981     0.19288909     119.04474806
    80        0.21188164    255.39507071     0.19561328     119.13577163
    81        0.21467591    255.46104822     0.19833684     119.22429391
    82        0.21746636    255.52445914     0.20105799     119.31117263
    83        0.22025872    255.58497626     0.20377529     119.39768812
    84        0.22304727    255.64216784     0.20649033     119.48337577
    85        0.22583390    255.69593248     0.20920665     119.56578410
    86        0.22862816    255.74688540     0.21192638     119.64408204
    87        0.23141480    255.79637412     0.21464902     119.71904713
    88        0.23420335    255.84605469     0.21737195     119.79096034
    89        0.23698998    255.89727748     0.22009126     119.86204932
    90        0.23978616    255.95063497     0.22280557     119.93532154
    91        0.24257279    256.00589129     0.22551813     120.00924977
    92        0.24536324    256.06235062     0.22823156     120.08076379
    93        0.24815941    256.11950299     0.23094591     120.14944462
    94        0.25095177    256.17746505     0.23366243     120.21486886
    95        0.25373841    256.23674150     0.23638266     120.27603369
    96        0.25652886    256.29747374     0.23910439     120.33522957
    97        0.25931931    256.35894373     0.24182344     120.39674581
    98        0.26210404    256.41982790     0.24454033     120.45978731
    99        0.26489449    256.47889390     0.24725905     120.51938870
   100        0.26768685    256.53552214     0.24997958     120.57354905
   101        0.27047730    256.58979457     0.25269907     120.62390862
   102        0.27326394    256.64224730     0.25541690     120.67205992
   103        0.27605439    256.69341148     0.25813463     120.71771624
   104        0.27884484    256.74329796     0.26085265     120.76100932
   105        0.28163529    256.79114659     0.26356895     120.80436069
