20-1_DIL_179-18_AA6082_average.asc    T=475∞C    phi∞=0.1    Yield=0.19580694
                Zeit   /    Temperatur   /    Phi   /    Flieﬂspannung kf
                  s              ∞C              -              MPa
     4        0.00000000    475.16175842    -0.00004841     0.19580694
     5        0.01899338    475.17423363    -0.00004455     0.23968831
     6        0.03800011    475.18888790    -0.00004047     0.26250725
     7        0.05699349    475.20420840    -0.00003615     0.27069469
     8        0.07599449    475.21678963    -0.00003163     0.27241081
     9        0.09499550    475.22281220    -0.00002694     0.27488595
    10        0.11400414    475.21958841    -0.00002216     0.27862196
    11        0.13299561    475.20651101    -0.00001748     0.27943809
    12        0.15200234    475.18518551    -0.00001324     0.27553702
    13        0.17100143    475.15901047    -0.00000996     0.26854664
    14        0.18999863    475.13255253    -0.00000826     0.26101486
    15        0.20899963    475.11072116    -0.00000860     0.25505956
    16        0.22800446    475.09758519    -0.00001105     0.25323652
    17        0.24700165    475.09510310    -0.00001511     0.25578191
    18        0.26599312    475.10248070    -0.00001986     0.26392385
    19        0.28500175    475.11656370    -0.00002416     0.27753130
    20        0.30399514    475.13295342    -0.00002707     0.28849357
    21        0.32299614    475.14729629    -0.00002800     0.29230024
    22        0.34199524    475.15646232    -0.00002686     0.29201748
    23        0.36100387    475.15942643    -0.00002404     0.28661810
    24        0.38000107    475.15750091    -0.00002031     0.27211932
    25        0.39899826    475.15365392    -0.00001658     0.25248819
    26        0.41799545    475.15113241    -0.00001368     0.23697763
    27        0.43699646    475.15207862    -0.00001216     0.22884861
    28        0.45600510    475.15689310    -0.00001221     0.22727871
    29        0.47500610    475.16463702    -0.00001368     0.23798925
    30        0.49400520    475.17402781    -0.00001623     0.26090937
    31        0.51299477    475.18415866    -0.00001942     0.28098667
    32        0.53199769    475.19441256    -0.00002272     0.29209648
    33        0.55100632    475.20387753    -0.00002562     0.29766365
    34        0.56999779    475.21108394    -0.00002768     0.29864888
    35        0.58900643    475.21453951    -0.00002877     0.30026811
    36        0.60799790    475.21369022    -0.00002907     0.30437785
    37        0.62699699    475.20946778    -0.00002891     0.30577682
    38        0.64599418    475.20393676    -0.00002861     0.30388111
    39        0.66499329    475.19930906    -0.00002835     0.30117454
    40        0.68399811    475.19702106    -0.00002819     0.29709497
    41        0.70299721    475.19738531    -0.00002815     0.29153512
    42        0.72200012    475.19981833    -0.00002815     0.28742916
    43        0.74100495    475.20327675    -0.00002788     0.28777842
    44        0.76000404    475.20658821    -0.00002684     0.29231470
    45        0.77899933    475.20869241    -0.00002449     0.29775748
    46        0.79799843    475.20894623    -0.00002057     0.29993850
    47        0.81699753    475.20740856    -0.00001528     0.29399848
    48        0.83600807    475.20479735    -0.00000914     0.28021813
