37-1_DIL_202-19_AA6082_average.asc    T=300∞C    phi∞=0.001    Yield=0.2636592
                Zeit   /    Temperatur   /    Phi   /    Flieﬂspannung kf
                  s              ∞C              -              MPa
     4        0.00000000    300.19764709     0.00017373     0.26365920
     5        1.60298919    300.17904865     0.00026765     0.52313489
     6        3.20597839    300.16308754     0.00041763     1.15697815
     7        4.80896759    300.15074423     0.00063637     2.42779703
     8        6.41195679    300.14256304     0.00091735     4.56950862
     9        7.91381073    300.13872858     0.00124741     7.78156140
    10        9.51679993    300.13881949     0.00162349     12.19862735
    11        11.11978532    300.14162866     0.00206502     17.80372490
    12        12.72277832    300.14544721     0.00261211     24.25999059
    13        14.32576752    300.14865239     0.00330779     30.83940772
    14        15.92874909    300.15009132     0.00417724     36.71494518
    15        17.53173828    300.14901174     0.00521888     41.39046289
    16        19.13474274    300.14480972     0.00640944     44.82149233
    17        20.73773194    300.13705998     0.00771532     47.23631976
    18        22.34071350    300.12593279     0.00910318     48.92795604
    19        23.94371033    300.11259866     0.01054604     50.14232949
    20        25.54669190    300.09919198     0.01202472     51.05105232
    21        27.14968872    300.08832077     0.01352668     51.76377456
    22        28.75266266    300.08239608     0.01504385     52.34731471
    23        30.35565949    300.08300662     0.01657033     52.84219654
    24        31.95865631    300.09046181     0.01810159     53.27562903
    25        33.56164551    300.10363077     0.01963486     53.66506161
    26        35.16461945    300.12024109     0.02116918     54.01690073
    27        36.76763153    300.13770554     0.02270510     54.33381708
    28        38.37061310    300.15415312     0.02424416     54.61936589
    29        39.97360992    300.16894080     0.02578701     54.87330905
    30        41.57659912    300.18219733     0.02733218     55.09718691
    31        43.17957306    300.19386043     0.02887755     55.30168808
    32        44.78256989    300.20316690     0.03042261     55.49712084
    33        46.38555908    300.20901201     0.03196851     55.68384222
    34        47.98855591    300.21071865     0.03351652     55.85599779
    35        49.59154511    300.20852115     0.03506721     56.00849632
    36        51.19453430    300.20346703     0.03662034     56.14000965
    37        52.79752350    300.19689793     0.03817490     56.25317254
    38        54.40051270    300.18991631     0.03972953     56.35328673
    39        56.00349426    300.18320923     0.04128347     56.44523000
    40        57.60649872    300.17725333     0.04283667     56.53270730
    41        59.20948029    300.17257693     0.04438951     56.62023592
    42        60.81246948    300.16979937     0.04594302     56.70965681
    43        62.41546631    300.16946453     0.04749836     56.79637169
    44        64.01844025    300.17180534     0.04905563     56.87526701
    45        65.62145233    300.17649862     0.05061351     56.94637091
