01-1_DIL_179-18_AA6082_average.asc    T=350∞C    phi∞=0.001    Yield=0.22618524
                Zeit   /    Temperatur   /    Phi   /    Flieﬂspannung kf
                  s              ∞C              -              MPa
     4        0.00000000    350.28227234     0.00002558     0.22618524
     5        1.60297966    350.25560234     0.00004245     0.19804746
     6        3.20597077    350.23309858     0.00005807     0.26209583
     7        4.80896377    350.21677803     0.00007185     0.24926253
     8        6.41195297    350.20742644     0.00008351     0.15075867
     9        8.01494026    350.20417218     0.00009316     0.22911819
    10        9.61793327    350.20453842     0.00010127     0.21776366
    11        11.22092628    350.20527993     0.00010846     0.25231417
    12        12.82391548    350.20382636     0.00011530     0.28785778
    13        14.42690086    350.19946863     0.00012201     0.21543874
    14        16.02988816    350.19338632     0.00012846     0.31967239
    15        17.63288117    350.18752575     0.00013431     0.23501753
    16        19.23586845    350.18329400     0.00013939     0.19003529
    17        20.83886337    350.18101242     0.00014382     0.10039266
    18        22.44185448    350.18020370     0.00014793     0.22483390
    19        24.04484558    350.18011973     0.00015207     0.23359823
    20        25.64782524    350.18006294     0.00015649     0.24592694
    21        27.25082016    350.17949673     0.00016124     0.25484019
    22        28.85381127    350.17803846     0.00016621     0.18940894
    23        30.45679855    350.17539186     0.00017130     0.27010034
    24        32.05979538    350.17141594     0.00017641     0.24841264
    25        33.66278076    350.16644251     0.00018141     0.22453052
    26        35.26578141    350.16148368     0.00018601     0.18913170
    27        36.86877060    350.15788818     0.00018987     0.25144727
    28        38.47175598    350.15665129     0.00019276     0.21176966
    29        40.07474899    350.15803159     0.00019464     0.17587975
    30        41.67773056    350.16171794     0.00019566     0.21486125
    31        43.28072357    350.16719318     0.00019601     0.21539895
    32        44.88371277    350.17388579     0.00019596     0.24433746
    33        46.48670197    350.18102889     0.00019590     0.21251268
    34        48.08969879    350.18751072     0.00019633     0.19414540
    35        49.69268418    350.19214285     0.00019766     0.27407439
    36        51.29566956    350.19436727     0.00020000     0.27224216
    37        52.89866257    350.19476578     0.00020303     0.20250715
    38        54.50165939    350.19473778     0.00020618     0.28998079
    39        56.10464096    350.19550995     0.00020893     0.20633066
    40        57.70763397    350.19727931     0.00021098     0.21559329
    41        59.31062699    350.19912855     0.00021233     0.19481948
    42        60.91360473    350.19973370     0.00021314     0.26565292
    43        62.51660538    350.19836248     0.00021356     0.23452285
    44        64.11958695    350.19548359     0.00021357     0.23274233
    45        65.72258758    350.19257655     0.00021303     0.18967556
    46        67.32557296    350.19132326     0.00021186     0.27917976
    47        68.92856979    350.19278327     0.00021030     0.20112164
    48        70.53155517    350.19703654     0.00020878     0.18035909
    49        72.13454056    350.20333974     0.00020783     0.31251273
    50        73.73752975    350.21055802     0.00020776     0.25092602
    51        75.34051514    350.21761883     0.00020867     0.29204003
    52        76.94350815    350.22379284     0.00021048     0.16898563
    53        78.54650498    350.22869636     0.00021303     0.24716747
    54        80.14949417    350.23212065     0.00021618     0.24556280
    55        81.75248718    350.23395381     0.00021980     0.24948651
    56        83.35547257    350.23429216     0.00022373     0.22891353
    57        84.95846176    350.23351791     0.00022772     0.25720401
    58        86.56144714    350.23212156     0.00023154     0.26281786
    59        88.16444015    350.23036356     0.00023523     0.25088053
    60        89.76743316    350.22802676     0.00023982     0.22431076
    61        91.37042618    350.22441162     0.00024852     0.25702998
    62        92.97341156    350.21868398     0.00026788     0.22843623
    63        94.57640457    350.21057826     0.00030798     0.23942110
    64        96.17939376    350.20100848     0.00038117     0.26170652
    65        97.78237533    350.19191017     0.00049993     0.23725995
    66        99.38537216    350.18526749     0.00067501     0.25630765
    67        100.98836898    350.18210740     0.00091474     0.86419082
    68        102.59135818    350.18221296     0.00122585     1.71615362
    69        104.19433975    350.18457746     0.00161548     3.57306588
    70        105.70778275    350.18806965     0.00209327     7.21620202
    71        107.31077194    350.19182549     0.00267193     13.37278795
    72        108.91376877    350.19531173     0.00336529     20.38003254
