42-1_DIL_202-19_AA6082_average.asc    T=325∞C    phi∞=0.01    Yield=0.28814429
                Zeit   /    Temperatur   /    Phi   /    Flieﬂspannung kf
                  s              ∞C              -              MPa
     4        0.00000000    325.26449585    -0.00000189     0.28814429
     5        0.16299057    325.19510616     0.00028957     2.32257849
     6        0.32598495    325.13207957     0.00060845     4.94366195
     7        0.48574066    325.08142532     0.00097397     8.42394612
     8        0.64868354    325.04877508     0.00140787     12.86509668
     9        0.81168556    325.03670395     0.00193424     18.15354139
    10        0.97466850    325.04334684     0.00257665     23.97228597
    11        1.13765525    325.06342590     0.00335337     29.87571347
    12        1.30065155    325.09071131     0.00427309     35.40633787
    13        1.46364021    325.12005374     0.00533309     40.21446274
    14        1.62663078    325.14799416     0.00652060     44.13134051
    15        1.78961181    325.17235678     0.00781632     47.16639443
    16        1.95261764    325.19188801     0.00919861     49.44552463
    17        2.11560058    325.20647032     0.01064656     51.13671287
    18        2.27859497    325.21736044     0.01214177     52.39886539
    19        2.44157982    325.22660725     0.01366904     53.36093952
    20        2.60457420    325.23575432     0.01521665     54.11962879
    21        2.76755714    325.24490627     0.01677636     54.74286238
    22        2.93054771    325.25292615     0.01834292     55.27414352
    23        3.09354591    325.25836730     0.01991335     55.73867555
    24        3.25653266    325.26023713     0.02148607     56.15119283
    25        3.41951751    325.25827669     0.02306035     56.52189998
    26        3.58250427    325.25307839     0.02463591     56.85805471
    27        3.74549865    325.24619538     0.02621263     57.16349728
    28        3.90848732    325.23990133     0.02779029     57.44000992
    29        4.07147980    325.23639704     0.02936857     57.69011929
    30        4.23447799    325.23695369     0.03094712     57.91777432
    31        4.39745331    325.24168280     0.03252564     58.12654320
    32        4.56044960    325.24994352     0.03410392     58.31835005
    33        4.72344017    325.26075119     0.03568189     58.49435063
    34        4.88643455    325.27274417     0.03725964     58.65646421
    35        5.04941749    325.28391061     0.03883745     58.80712285
    36        5.21240806    325.29159221     0.04041578     58.94746673
    37        5.37539482    325.29307165     0.04199529     59.07678607
    38        5.53838729    325.28660566     0.04357671     59.19390722
    39        5.70137596    325.27242331     0.04516054     59.29844775
