55-1_DIL_202-19_AA6082_average.asc    T=300∞C    phi∞=1.0    Yield=0.34008508
                Zeit   /    Temperatur   /    Phi   /    Flieﬂspannung kf
                  s              ∞C              -              MPa
     4        0.00000000    300.30468750     0.00003531     0.34008508
     5        0.00279236    300.26816610     0.00026273     1.39161893
     6        0.00557709    300.24049568     0.00059393     3.72265988
     7        0.00836754    300.22429090     0.00105295     8.27363102
     8        0.01103211    300.21932679     0.00167590     15.57650476
     9        0.01381683    300.22356275     0.00255293     25.25374134
    10        0.01660347    300.23455891     0.00379146     36.02728837
    11        0.01939773    300.25056680     0.00543558     46.38500591
    12        0.02219201    300.27091882     0.00744142     55.30152303
    13        0.02499008    300.29574280     0.00972166     62.44375712
    14        0.02777100    300.32529720     0.01219051     67.95590623
    15        0.03055954    300.35938146     0.01477979     72.17390851
    16        0.03335189    300.39721236     0.01744243     75.43882786
    17        0.03614044    300.43775830     0.02015186     78.01985731
    18        0.03892898    300.48010382     0.02289592     80.10666883
    19        0.04171754    300.52351095     0.02566784     81.82907913
    20        0.04451751    300.56737340     0.02846022     83.27692650
    21        0.04730034    300.61145553     0.03126467     84.51141180
    22        0.05009079    300.65634764     0.03407316     85.57292100
    23        0.05287361    300.70360942     0.03687746     86.49092503
    24        0.05566788    300.75524152     0.03966877     87.29220643
    25        0.05845642    300.81268172     0.04244011     88.00090402
    26        0.06125260    300.87590157     0.04518954     88.63512248
    27        0.06404686    300.94318008     0.04791955     89.20797522
    28        0.06683350    301.01178372     0.05063399     89.72851592
    29        0.06961822    301.07921968     0.05333713     90.20085570
    30        0.07241058    301.14434288     0.05603337     90.62917932
    31        0.07520103    301.20773702     0.05872618     91.02210274
    32        0.07799149    301.27125635     0.06141734     91.38804818
    33        0.08078385    301.33696858     0.06410722     91.73158993
    34        0.08356666    301.40595114     0.06679574     92.05544982
    35        0.08635521    301.47759249     0.06948307     92.36279024
    36        0.08914375    301.54992059     0.07217095     92.65670409
    37        0.09193802    301.62073684     0.07486353     92.93655668
    38        0.09472847    301.68860307     0.07756415     93.19738594
    39        0.09752464    301.75297241     0.08027095     93.43667691
    40        0.10030747    301.81376526     0.08297756     93.66046267
    41        0.10310554    301.87118963     0.08567992     93.87733453
    42        0.10589028    301.92603385     0.08838183     94.08720430
    43        0.10867500    301.97991939     0.09109049     94.28382975
    44        0.11146736    302.03502560     0.09380718     94.46621128
    45        0.11426353    302.09334910     0.09652672     94.63944582
    46        0.11704827    302.15589800     0.09924473     94.80797954
    47        0.11983872    302.22217658     0.10196036     94.97380088
    48        0.12263489    302.29019894     0.10467436     95.13636135
    49        0.12542153    302.35719858     0.10738947     95.29142061
    50        0.12821007    302.42092575     0.11011003     95.43443829
    51        0.13100053    302.48088413     0.11283926     95.56364031
    52        0.13379097    302.53863222     0.11557655     95.67922397
    53        0.13658142    302.59689303     0.11831545     95.78610551
    54        0.13937187    302.65815704     0.12104786     95.89344502
    55        0.14215469    302.72373439     0.12377230     96.00556553
    56        0.14494705    302.79364353     0.12649257     96.11997556
    57        0.14773369    302.86700047     0.12921130     96.23303793
    58        0.15052795    302.94234050     0.13192947     96.34252185
    59        0.15331841    303.01765697     0.13464717     96.44900041
    60        0.15610504    303.09045528     0.13736484     96.55381257
    61        0.15889550    303.15824938     0.14008486     96.65459250
    62        0.16169166    303.21949469     0.14281025     96.74644324
    63        0.16447067    303.27433167     0.14554253     96.82631509
    64        0.16726875    303.32438901     0.14828026     96.89615360
    65        0.17005920    303.37159359     0.15101815     96.96396491
    66        0.17285156    303.41690977     0.15375082     97.03829899
    67        0.17563820    303.46015521     0.15647884     97.11942345
    68        0.17843246    303.50108052     0.15920676     97.20024794
    69        0.18122673    303.54059255     0.16193820     97.27357172
