51-1_DIL_202-19_AA6082_average.asc    T=250∞C    phi∞=0.1    Yield=0.40537113
                Zeit   /    Temperatur   /    Phi   /    Flieﬂspannung kf
                  s              ∞C              -              MPa
     4        0.00000000    250.35025788    -0.00001483     0.40537113
     5        0.01899719    250.35440788     0.00020098     3.21242902
     6        0.03728485    250.36250440     0.00043621     7.12834688
     7        0.05629158    250.37570474     0.00071525     12.65711186
     8        0.07442474    250.39396482     0.00107768     20.02693745
     9        0.09341812    250.41598171     0.00158161     29.02295975
    10        0.11242294    250.43904807     0.00229416     38.87400798
    11        0.13141823    250.45927999     0.00326394     48.47905054
    12        0.15041923    250.47259571     0.00449171     56.91422268
    13        0.16942406    250.47623003     0.00592826     63.76984450
    14        0.18841934    250.46994980     0.00750285     69.09725330
    15        0.20742035    250.45615001     0.00915339     73.17558129
    16        0.22642517    250.43877639     0.01083972     76.32690031
    17        0.24542237    250.42186787     0.01254274     78.82772413
    18        0.26443100    250.40862076     0.01425672     80.88194749
    19        0.28342628    250.40118052     0.01598244     82.62413462
    20        0.30242539    250.40069163     0.01772340     84.13887314
    21        0.32142639    250.40721197     0.01948182     85.48192202
    22        0.34042359    250.41959298     0.02125617     86.69165989
    23        0.35941887    250.43556226     0.02304395     87.79161287
    24        0.37841797    250.45206888     0.02484546     88.79311820
    25        0.39741707    250.46596564     0.02666074     89.70554067
    26        0.41642761    250.47509638     0.02848466     90.54343547
    27        0.43541909    250.47940011     0.03031156     91.31822795
    28        0.45442009    250.48121860     0.03214089     92.03204799
    29        0.47342301    250.48431656     0.03397359     92.68622786
    30        0.49242592    250.49199756     0.03580848     93.28714035
    31        0.51142692    250.50538480     0.03764334     93.84358243
    32        0.53042794    250.52292311     0.03947570     94.36437076
    33        0.54942894    250.54133330     0.04130489     94.85579021
    34        0.56841469    250.55719251     0.04313395     95.31925173
    35        0.58741760    250.56806880     0.04496614     95.75432274
    36        0.60642433    250.57287917     0.04680078     96.16403599
    37        0.62542152    250.57182100     0.04863586     96.55329870
    38        0.64442444    250.56616754     0.05047269     96.92310627
    39        0.66341782    250.55793468     0.05231298     97.27275279
    40        0.68242455    250.54943265     0.05415442     97.60584666
    41        0.70142555    250.54276437     0.05599462     97.92690424
    42        0.72042274    250.53924860     0.05783544     98.23556548
    43        0.73942566    250.53881582     0.05967901     98.53035109
    44        0.75842285    250.53966177     0.06152359     98.81373548
    45        0.77742004    250.53851412     0.06336705     99.08822452
    46        0.79642486    250.53166987     0.06520960     99.35212048
    47        0.81542587    250.51657166     0.06705223     99.60318153
    48        0.83442497    250.49317366     0.06889668     99.84142365
    49        0.85342216    250.46412690     0.07074394     100.06844869
    50        0.87242699    250.43348578     0.07259169     100.28847785
    51        0.89142799    250.40486117     0.07443731     100.50631478
    52        0.91041756    250.38038688     0.07628146     100.72252109
    53        0.92942238    250.36094525     0.07812599     100.93357639
    54        0.94842529    250.34691062     0.07997123     101.13577942
    55        0.96743011    250.33849825     0.08181671     101.32809638
    56        0.98642158    250.33554144     0.08366270     101.51190475
    57        1.00542831    250.33717276     0.08551004     101.68888223
    58        1.02441597    250.34189961     0.08735827     101.86089651
    59        1.04342270    250.34813455     0.08920541     102.02974534
    60        1.06242371    250.35482264     0.09105120     102.19459020
    61        1.08142662    250.36169854     0.09289809     102.35365781
    62        1.10042000    250.36895721     0.09474753     102.50785903
    63        1.11942863    250.37653710     0.09659817     102.65838684
    64        1.13842583    250.38344002     0.09844823     102.80521521
    65        1.15742302    250.38746118     0.10029784     102.94872047
    66        1.17641831    250.38564317     0.10214817     103.08934641
    67        1.19542504    250.37559253     0.10399856     103.22794045
    68        1.21442033    250.35710777     0.10584774     103.36428994
    69        1.23341942    250.33289293     0.10769778     103.49497910
    70        1.25242615    250.30759208     0.10955128     103.61812477
    71        1.27142334    250.28574411     0.11140637     103.73738641
    72        1.29042053    250.27003131     0.11325947     103.85682033
    73        1.30942726    250.26071091     0.11511022     103.97587044
    74        1.32842827    250.25612153     0.11696035     104.09206812
    75        1.34741974    250.25361535     0.11880994     104.20545645
    76        1.36642075    250.25044997     0.12065692     104.31895319
    77        1.38542938    250.24455857     0.12250005     104.43511686
    78        1.40442467    250.23510065     0.12434235     104.55158377
    79        1.42341804    250.22251216     0.12619010     104.66144589
    80        1.44242478    250.20802475     0.12804567     104.76138037
    81        1.46142769    250.19307100     0.12990478     104.85463504
    82        1.48042679    250.17893531     0.13176298     104.94453275
    83        1.49942589    250.16658028     0.13361891     105.03267534
    84        1.51842117    250.15643182     0.13547239     105.12157467
    85        1.53742409    250.14810170     0.13732450     105.21250315
    86        1.55641746    250.14021897     0.13917664     105.30397129
    87        1.57542610    250.13066440     0.14102839     105.39475699
    88        1.59441948    250.11747078     0.14287867     105.48524737
    89        1.61342049    250.10017477     0.14472848     105.57570121
    90        1.63242531    250.08073019     0.14658007     105.66520638
    91        1.65141487    250.06307783     0.14843417     105.75202163
    92        1.67042351    250.05138614     0.15028909     105.83618902
    93        1.68943214    250.04797053     0.15214245     105.92105343
    94        1.70842743    250.05210813     0.15399370     106.00780384
    95        1.72743034    250.06041434     0.15584327     106.09302309
    96        1.74641991    250.06856676     0.15769201     106.17370249
    97        1.76542663    250.07339836     0.15954415     106.24777402
    98        1.78442001    250.07423781     0.16140293     106.31462992
    99        1.80342484    250.07291158     0.16326441     106.37831649
   100        1.82242202    250.07250504     0.16512338     106.44388853
   101        1.84142494    250.07545020     0.16697837     106.51376919
   102        1.86042976    250.08181816     0.16882861     106.58825217
   103        1.87942314    250.08873458     0.17067422     106.66461976
   104        1.89842415    250.09135280     0.17251853     106.73810357
   105        1.91742516    250.08496634     0.17436634     106.80577441
   106        1.93642235    250.06720954     0.17622019     106.86805557
   107        1.95543098    250.03931609     0.17807897     106.92652109
   108        1.97441673    250.00594605     0.17993940     106.98274991
   109        1.99342346    249.97375572     0.18179855     107.03880268
   110        2.01241875    249.94940889     0.18365525     107.09562778
   111        2.03142738    249.93784315     0.18550899     107.15274589
   112        2.05042267    249.94118544     0.18736020     107.20989380
   113        2.06942367    249.95830204     0.18921066     107.26757731
   114        2.08842278    249.98509086     0.19105965     107.32766493
   115        2.10742188    250.01572646     0.19290416     107.39130640
   116        2.12642288    250.04451257     0.19474578     107.45517162
   117        2.14541626    250.06743733     0.19659023     107.51384242
   118        2.16441918    250.08286267     0.19843891     107.56639692
   119        2.18342781    250.09155274     0.20028816     107.61748379
   120        2.20242310    250.09638722     0.20213696     107.67076861
   121        2.22141838    250.10162082     0.20398899     107.72365722
   122        2.24042129    250.11144258     0.20584620     107.77144765
   123        2.25942230    250.12825354     0.20770604     107.81440126
   124        2.27842140    250.15164243     0.20956598     107.85689038
   125        2.29743004    250.17864445     0.21142664     107.90138337
   126        2.31641769    250.20494860     0.21328913     107.94680779
   127        2.33542633    250.22628830     0.21515097     107.99309378
   128        2.35441590    250.23950357     0.21700848     108.04279899
   129        2.37342834    250.24311749     0.21886203     108.09640683
   130        2.39242553    250.23738769     0.22071402     108.15093090
   131        2.41142464    250.22386334     0.22256555     108.20310465
   132        2.43042373    250.20467762     0.22441746     108.25107386
   133        2.44942666    250.18199635     0.22627066     108.29522233
