36-1_DIL_202-19_AA6082.asc    T=325∞C    phi∞=0.001    Yield=0.23121452
                Zeit   /    Temperatur   /    Phi   /    Flieﬂspannung kf
                  s              ∞C              -              MPa
   104        237.16629028    325.21377255     0.14669110     50.08851252
   105        238.76925659    325.20676877     0.14827014     50.07476599
   106        240.37228393    325.20352187     0.14984754     50.07011095
   107        241.97528076    325.20532321     0.15142260     50.06252718
   108        243.57824707    325.21171597     0.15299575     50.04328994
   109        245.18124390    325.22045959     0.15456825     50.03019239
   110        246.78424072    325.22871049     0.15614142     50.03333038
   111        248.38723755    325.23463489     0.15771587     50.03819813
   112        249.99020386    325.23797483     0.15929136     50.03133161
   113        251.59320068    325.23924648     0.16086728     50.01660104
   114        253.19619751    325.23882491     0.16244309     50.00297831
   115        254.79916382    325.23687781     0.16401852     49.99098033
   116        256.40216064    325.23357022     0.16559359     49.97505498
   117        258.00515747    325.22880997     0.16716874     49.95725515
   118        259.60815430    325.22201882     0.16874479     49.94746695
   119        261.21115112    325.21260387     0.17032266     49.94418908
   120        262.81414795    325.20074664     0.17190279     49.93713566
   121        264.41711426    325.18772535     0.17348491     49.92246508
   122        266.02011108    325.17560253     0.17506812     49.90196010
   123        267.62310791    325.16657038     0.17665115     49.87957720
   124        269.22610473    325.16227025     0.17823280     49.85907431
   125        270.82910156    325.16334884     0.17981235     49.84486618
   126        272.43206787    325.16924110     0.18138966     49.84174622
   127        274.03509521    325.17797234     0.18296519     49.84761504
   128        275.63806152    325.18630342     0.18453984     49.85344645
   129        277.24102783    325.19091617     0.18611474     49.85593716
   130        278.84405517    325.19029124     0.18769078     49.85734159
   131        280.44702148    325.18571583     0.18926817     49.85270627
   132        282.05001831    325.18042720     0.19084614     49.83806988
   133        283.65301514    325.17756621     0.19242333     49.82138982
   134        285.25601196    325.17849240     0.19399853     49.80891180
   135        286.85897827    325.18256066     0.19557122     49.79971898
   136        288.46200561    325.18821562     0.19714172     49.79694542
   137        290.06497192    325.19424357     0.19871093     49.80073703
   138        291.66793823    325.20018248     0.20027991     49.80213891
   139        293.27096557    325.20588423     0.20184955     49.79544861
   140        294.87393188    325.21089837     0.20342040     49.78444410
   141        296.47692871    325.21434314     0.20499260     49.77429830
   142        298.07992554    325.21547323     0.20656595     49.76388619
   143        299.68292236    325.21438528     0.20813996     49.75234072
   144        301.28588867    325.21189794     0.20971408     49.73912774
   145        302.88888550    325.20849085     0.21128819     49.72086646
   146        304.49188232    325.20353883     0.21286279     49.70128470
   147        306.09484863    325.19595388     0.21443864     49.68798688
   148        307.69787598    325.18562532     0.21601611     49.67665266
   149        309.30084228    325.17404759     0.21759478     49.65685493
   150        310.90383911    325.16357581     0.21917369     49.63318342
   151        312.50683594    325.15624239     0.22075182     49.61481272
   152        314.10983276    325.15309585     0.22232854     49.59972820
   153        315.71279907    325.15409077     0.22390391     49.58710481
   154        317.31579590    325.15818840     0.22547862     49.58019952
   155        318.91879272    325.16357378     0.22705363     49.57827650
   156        320.52175903    325.16800608     0.22862978     49.57147371
   157        322.12478638    325.16934452     0.23020757     49.55499018
   158        323.72775268    325.16632302     0.23178706     49.53917812
   159        325.33074951    325.15922232     0.23336788     49.52786858
   160        326.93374634    325.14969444     0.23494935     49.51464466
   161        328.53671265    325.13970397     0.23653061     49.49899735
   162        330.13970947    325.13060439     0.23811083     49.48613496
   163        331.74270630    325.12312797     0.23968937     49.47611285
   164        333.34570312    325.11798055     0.24126595     49.46363637
   165        334.94866943    325.11631656     0.24284066     49.44803528
   166        336.55169678    325.11964019     0.24441393     49.43478905
   167        338.15466308    325.12898986     0.24598647     49.42482982
   168        339.75765991    325.14375797     0.24755924     49.41270780
   169        341.36065674    325.16114086     0.24913332     49.39954639
   170        342.96362305    325.17709510     0.25070956     49.39051301
   171        344.56665039    325.18836558     0.25228796     49.38372125
   172        346.16961670    325.19391999     0.25386756     49.37204388
   173        347.77261352    325.19465322     0.25544691     49.35120810
   174        349.37561035    325.19202321     0.25702476     49.32731150
   175        350.97860718    325.18710981     0.25860056     49.30975121
   176        352.58157348    325.18069630     0.26017449     49.29847742
   177        354.18457031    325.17378330     0.26174718     49.28738752
   178        355.78756714    325.16768693     0.26331938     49.27377242
   179        357.39053345    325.16348120     0.26489173     49.25949949
   180        358.99356079    325.16136420     0.26646470     49.24581727
   181        360.59652710    325.16072060     0.26803865     49.23353941
   182        362.19952392    325.16088416     0.26961378     49.22402351
   183        363.80252075    325.16183641     0.27119017     49.20842846
