45-2_DIL_202-19_AA6082_average.asc    T=250∞C    phi∞=0.01    Yield=0.35051421
                Zeit   /    Temperatur   /    Phi   /    Flieﬂspannung kf
                  s              ∞C              -              MPa
     4        0.00000000    250.34118653    -0.00011573     0.35051421
     5        0.16299439    250.28126488     0.00012767     1.62795659
     6        0.32598114    250.22787002     0.00039279     3.55167024
     7        0.48897934    250.18426758     0.00069268     6.53512993
     8        0.63724709    250.15353128     0.00104192     10.89007266
     9        0.80023575    250.13840285     0.00145907     16.72803907
    10        0.96322251    250.13986759     0.00196651     23.87242215
    11        1.12621499    250.15550922     0.00258684     31.83439526
    12        1.28920555    250.17925295     0.00333760     39.91906062
    13        1.45220185    250.20317978     0.00422670     47.44213280
    14        1.61518669    250.22055152     0.00525089     53.93264801
    15        1.77817917    250.22827485     0.00639728     59.21077149
    16        1.94115830    250.22742800     0.00764695     63.33708471
    17        2.10415840    250.22177829     0.00897907     66.50438538
    18        2.26714325    250.21535190     0.01037414     68.93936585
    19        2.43013573    250.21042158     0.01181584     70.84362349
    20        2.59312630    250.20688283     0.01329158     72.37236588
    21        2.75611115    250.20318087     0.01479213     73.63534489
    22        2.91910744    250.19801883     0.01631079     74.70596180
    23        3.08209229    250.19161919     0.01784254     75.63227248
    24        3.24508667    250.18572938     0.01938345     76.44741232
    25        3.40806962    250.18249460     0.02093050     77.17664703
    26        3.57105828    250.18305460     0.02248157     77.83976790
    27        3.73405457    250.18681755     0.02403545     78.45080342
    28        3.89703942    250.19185233     0.02559161     79.01818551
    29        4.06003762    250.19614589     0.02714994     79.54658399
    30        4.22301865    250.19899028     0.02871038     80.03907190
    31        4.38601494    250.20159479     0.03027278     80.49851912
    32        4.54900552    250.20633493     0.03183679     80.92850346
    33        4.71198846    250.21499618     0.03340209     81.33327046
    34        4.87499047    250.22727187     0.03496841     81.71639063
    35        5.03797722    250.24060274     0.03653572     82.07993584
    36        5.20096207    250.25136220     0.03810426     82.42513532
    37        5.36395073    250.25656660     0.03967451     82.75241758
    38        5.52694130    250.25522331     0.04124691     83.06041755
    39        5.68992997    250.24873182     0.04282153     83.34715110
    40        5.85292054    250.24017434     0.04439799     83.61329792
    41        6.01590729    250.23284384     0.04597566     83.86281523
    42        6.17890740    250.22876043     0.04755395     84.09985945
    43        6.34190179    250.22799491     0.04913251     84.32655008
    44        6.50488282    250.22919383     0.05071124     84.54390826
    45        6.66787911    250.23086962     0.05229027     84.75301020
    46        6.83086586    250.23247216     0.05386973     84.95405327
    47        6.99385453    250.23458910     0.05544959     85.14566298
    48        7.15684510    250.23833439     0.05702955     85.32648179
    49        7.31983185    250.24430840     0.05860929     85.49700527
    50        7.48281861    250.25160800     0.06018870     85.65953937
    51        7.64580727    250.25757272     0.06176802     85.81691044
    52        7.80880356    250.25880588     0.06334775     85.97114834
    53        7.97179413    250.25310083     0.06492831     86.12272512
    54        8.13478661    250.24095979     0.06650981     86.27059822
    55        8.29777336    250.22554113     0.06809200     86.41292173
    56        8.46076394    250.21111170     0.06967442     86.54832904
    57        8.62375641    250.20119330     0.07125673     86.67707653
    58        8.78674317    250.19755315     0.07283893     86.80063754
    59        8.94972992    250.20024408     0.07442130     86.92007024
    60        9.11272431    250.20810380     0.07600426     87.03523095
    61        9.27572060    250.21913092     0.07758812     87.14574805
    62        9.43870735    250.23073260     0.07917299     87.25222233
    63        9.60169602    250.24026321     0.08075876     87.35566008
    64        9.76468277    250.24600620     0.08234520     87.45600205
    65        9.92767716    250.24802810     0.08393193     87.55225465
    66        10.09066391    250.24807307     0.08551862     87.64383954
    67        10.25364876    250.24837538     0.08710507     87.73086968
    68        10.41664314    250.25025463     0.08869122     87.81356467
    69        10.57962991    250.25354321     0.09027707     87.89260389
    70        10.74262810    250.25709525     0.09186259     87.96984237
    71        10.90561486    250.25968840     0.09344785     88.04737289
    72        11.06860733    250.26049121     0.09503312     88.12561976
    73        11.23159409    250.25902064     0.09661886     88.20294964
    74        11.39458085    250.25520812     0.09820540     88.27706675
    75        11.55757714    250.24986708     0.09979258     88.34688593
    76        11.72056389    250.24492318     0.10137973     88.41377066
