05-1_DIL_179-18_AA6082_average.asc    T=450∞C    phi∞=0.001    Yield=0.22490258
                Zeit   /    Temperatur   /    Phi   /    Flieﬂspannung kf
                  s              ∞C              -              MPa
     4        0.00000000    450.24176025    -0.00001375     0.22490258
     5        1.60299873    450.22925215    -0.00000120     0.20780635
     6        3.20598221    450.21863257     0.00001068     0.21018982
     7        4.80896759    450.20968971     0.00002189     0.21636110
     8        6.41196633    450.20127300     0.00003261     0.21596150
     9        8.01495934    450.19202233     0.00004299     0.21751634
    10        9.61794281    450.18122689     0.00005301     0.22390720
    11        11.22093201    450.16936217     0.00006246     0.22249005
    12        12.82391739    450.15793839     0.00007114     0.21201858
    13        14.42691802    450.14875082     0.00007890     0.20201486
    14        16.02990532    450.14305083     0.00008574     0.19229552
    15        17.63289643    450.14112413     0.00009169     0.18572325
    16        19.23587990    450.14238554     0.00009677     0.18901852
    17        20.83886719    450.14581669     0.00010088     0.19660286
    18        22.44186020    450.15047093     0.00010391     0.19979062
    19        24.04485130    450.15572444     0.00010580     0.19694834
    20        25.64784431    450.16110951     0.00010673     0.19460479
    21        27.25083351    450.16594796     0.00010718     0.20278814
    22        28.85381889    450.16918045     0.00010780     0.22195758
    23        30.45681954    450.16955422     0.00010920     0.24095460
    24        32.05980492    450.16604894     0.00011182     0.24964222
    25        33.66279030    450.15834975     0.00011584     0.24914925
    26        35.26578331    450.14715267     0.00012113     0.24525034
    27        36.86877250    450.13404509     0.00012727     0.23987435
    28        38.47176170    450.12088603     0.00013373     0.23445660
    29        40.07476234    450.10904007     0.00014007     0.22810333
    30        41.67773628    450.09904080     0.00014610     0.21753126
    31        43.28073310    450.09091247     0.00015170     0.20647917
    32        44.88371849    450.08477638     0.00015674     0.19871449
    33        46.48671531    450.08118095     0.00016090     0.18932236
    34        48.08970451    450.08096559     0.00016381     0.17769039
    35        49.69268990    450.08487183     0.00016519     0.17103312
    36        51.29568672    450.09315411     0.00016493     0.17208865
    37        52.89867210    450.10532190     0.00016324     0.17792556
    38        54.50166130    450.12014184     0.00016061     0.18823572
    39        56.10466194    450.13598881     0.00015767     0.20381643
    40        57.70763588    450.15134291     0.00015496     0.22085319
    41        59.31063652    450.16502144     0.00015285     0.23378994
    42        60.91362190    450.17606679     0.00015158     0.24041889
    43        62.51662635    450.18370367     0.00015142     0.24534717
    44        64.11960792    450.18764932     0.00015260     0.25200874
    45        65.72259712    450.18847499     0.00015507     0.24986406
    46        67.32557868    450.18756236     0.00015841     0.23180693
    47        68.92856789    450.18661528     0.00016185     0.21252301
    48        70.53156471    450.18702180     0.00016458     0.20332188
    49        72.13455390    450.18932286     0.00016618     0.20105446
    50        73.73754311    450.19294606     0.00016681     0.20680594
    51        75.34052467    450.19638599     0.00016713     0.22121594
    52        76.94351386    450.19789584     0.00016789     0.23588313
    53        78.54651069    450.19634937     0.00016951     0.24279737
    54        80.14949989    450.19165239     0.00017201     0.23810274
    55        81.75248909    450.18440839     0.00017519     0.22275688
    56        83.35547829    450.17526548     0.00017889     0.20850139
    57        84.95847511    450.16469948     0.00018329     0.20540010
    58        86.56146430    450.15345709     0.00018930     0.20925170
    59        88.16444588    450.14305423     0.00019917     0.20861526
    60        89.76744271    450.13561977     0.00021733     0.19639128
    61        91.37043952    450.13308128     0.00025097     0.19351925
    62        92.97341346    450.13627370     0.00031008     0.25300434
    63        94.57640266    450.14450274     0.00040736     0.44768851
    64        96.17940712    450.15577135     0.00055824     0.88184633
    65        97.78239631    450.16755181     0.00078114     1.70649277
    66        99.38537025    450.17765069     0.00109740     3.15410760
    67        100.96425820    450.18465959     0.00152993     5.53271151
    68        102.48887825    450.18794534     0.00210018     8.97091400
    69        104.09187507    450.18758324     0.00282365     13.05879890
    70        105.69484901    450.18441849     0.00370608     16.95362295
    71        107.29784584    450.17990827     0.00474191     19.96941297
    72        108.90084266    450.17546660     0.00591573     21.94685878
    73        110.50382423    450.17170679     0.00720590     23.10050937
    74        112.10681343    450.16829448     0.00858850     23.72076024
    75        113.70980263    450.16460955     0.01004047     24.02945543
    76        115.31279183    450.16063273     0.01154166     24.16788810
    77        116.91579628    450.15722692     0.01307585     24.22220828
    78        118.51878547    450.15555147     0.01463103     24.23720097
    79        120.12175942    450.15620830     0.01619915     24.23559067
    80        121.72476387    450.15892449     0.01777525     24.23570618
    81        123.32774543    450.16290610     0.01935643     24.24012006
    82        124.93073463    450.16735702     0.02094094     24.23705036
    83        126.53372383    450.17173285     0.02252766     24.22452836
    84        128.13674355    450.17567983     0.02411579     24.21071252
    85        129.73970986    450.17878802     0.02570481     24.20019579
    86        131.34269905    450.18039487     0.02729442     24.18998784
    87        132.94569588    450.17973983     0.02888438     24.17536037
    88        134.54869271    450.17648790     0.03047443     24.16027972
    89        136.15168190    450.17119253     0.03206414     24.14563381
    90        137.75467109    450.16526375     0.03365297     24.12632330
    91        139.35765266    450.16046897     0.03524055     24.11020943
    92        140.96064949    450.15832891     0.03682681     24.10596204
    93        142.56363106    450.15968170     0.03841198     24.11239994
    94        144.16662025    450.16448223     0.03999653     24.12546901
    95        145.76960945    450.17189228     0.04158109     24.13751326
