31-1_DIL_179-18_AA6082_average.asc    T=400∞C    phi∞=10.0    Yield=0.0
                Zeit   /    Temperatur   /    Phi   /    Flieﬂspannung kf
                  s              ∞C              -              MPa
     4        0.00000000    399.63404846     0.00003521     0.00000000
     5        0.00130462    399.63375215     0.00003476     0.05393938
     6        0.00262069    399.63458380     0.00003444     0.11177460
     7        0.00392341    399.63727553     0.00003431     0.16863290
     8        0.00523567    399.64238387     0.00003429     0.21432148
     9        0.00654030    399.64990578     0.00003429     0.24043562
    10        0.00785828    399.65885098     0.00003441     0.25315300
    11        0.00916291    399.66725537     0.00003507     0.26605018
    12        0.01047134    399.67298510     0.00003683     0.28197693
    13        0.01178932    399.67498675     0.00004003     0.29639716
    14        0.01309585    399.67400473     0.00004448     0.30140906
    15        0.01440429    399.67206904     0.00004957     0.28628880
    16        0.01571464    399.67114158     0.00005465     0.26252213
    17        0.01701927    399.67201123     0.00005928     0.25602606
    18        0.01833725    399.67412533     0.00006329     0.26517406
    19        0.01963806    399.67615375     0.00006660     0.27184011
    20        0.02095413    399.67668623     0.00006916     0.27340869
    21        0.02226639    399.67474804     0.00007101     0.27488963
    22        0.02356911    399.67016303     0.00007226     0.27584917
    23        0.02488137    399.66369327     0.00007307     0.27525392
    24        0.02620125    399.65669737     0.00007362     0.27275626
    25        0.02750778    399.65037334     0.00007417     0.27133667
    26        0.02881241    399.64516984     0.00007500     0.28087108
    27        0.03012466    399.64085117     0.00007635     0.30346788
    28        0.03143692    399.63706841     0.00007827     0.32215661
    29        0.03274155    399.63390542     0.00008058     0.32364354
    30        0.03404808    399.63199557     0.00008296     0.31613760
    31        0.03536224    399.63214339     0.00008506     0.30602286
    32        0.03667259    399.63470761     0.00008663     0.29190521
    33        0.03799057    399.63917130     0.00008762     0.28159952
    34        0.03929519    399.64420433     0.00008809     0.28059267
    35        0.04060555    399.64818632     0.00008817     0.28457861
    36        0.04191399    399.64985668     0.00008794     0.28996058
    37        0.04322625    399.64868857     0.00008747     0.29624226
    38        0.04453659    399.64480627     0.00008692     0.30445290
    39        0.04584122    399.63864621     0.00008653     0.31357010
