27-1_DIL_179-18_AA6082_average.asc    T=475∞C    phi∞=1.0    Yield=0.2069067
                Zeit   /    Temperatur   /    Phi   /    Flieﬂspannung kf
                  s              ∞C              -              MPa
     4        0.00000000    474.81164551     0.00001561     0.20690670
     5        0.00279236    474.80415177     0.00002059     0.24664330
     6        0.00558472    474.79779000     0.00002478     0.27653907
     7        0.00837899    474.79343988     0.00002808     0.29820921
     8        0.01117135    474.79195258     0.00003063     0.31068882
     9        0.01395417    474.79370526     0.00003268     0.31316958
    10        0.01674462    474.79816515     0.00003446     0.31067504
    11        0.01954270    474.80390061     0.00003619     0.30997516
    12        0.02232934    474.80915692     0.00003810     0.31244703
    13        0.02511407    474.81267390     0.00004036     0.31427148
    14        0.02790451    474.81421813     0.00004300     0.31248497
    15        0.03070069    474.81449517     0.00004585     0.30732946
    16        0.03349114    474.81458207     0.00004857     0.30211272
    17        0.03627587    474.81536085     0.00005081     0.30024918
    18        0.03906632    474.81729104     0.00005225     0.30075313
    19        0.04185677    474.82044388     0.00005265     0.30019407
    20        0.04464532    474.82456878     0.00005200     0.29682815
    21        0.04743577    474.82915473     0.00005053     0.29426891
    22        0.05023575    474.83358182     0.00004870     0.29589343
    23        0.05302430    474.83733842     0.00004696     0.29804284
    24        0.05580331    474.84012008     0.00004560     0.29980036
    25        0.05859757    474.84166437     0.00004469     0.30335822
    26        0.06139183    474.84143900     0.00004433     0.30447698
    27        0.06417847    474.83855232     0.00004472     0.30257866
    28        0.06696701    474.83215029     0.00004613     0.30214744
    29        0.06976319    474.82210693     0.00004859     0.29990912
    30        0.07255364    474.80946327     0.00005169     0.29173481
    31        0.07533646    474.79620439     0.00005477     0.28104258
    32        0.07812310    474.78448031     0.00005773     0.27385837
    33        0.08091546    474.77580706     0.00006268     0.27250704
    34        0.08370400    474.77071691     0.00007612     0.27669111
    35        0.08649636    474.76886551     0.00011093     0.28487049
    36        0.08929635    474.76930493     0.00018665     0.29452039
    37        0.09208298    474.77076651     0.00032813     0.35317568
    38        0.09486581    474.77201725     0.00056439     0.66926765
    39        0.09766198    474.77227526     0.00092966     1.76462563
    40        0.10045052    474.77143866     0.00146512     4.49769875
    41        0.10312272    474.76993606     0.00221703     9.57094984
    42        0.10588837    474.76839806     0.00322898     16.69978270
    43        0.10867691    474.76756119     0.00453076     24.43309988
    44        0.11146546    474.76850822     0.00612989     31.11231048
    45        0.11425400    474.77291108     0.00801006     35.93068321
    46        0.11705209    474.78289622     0.01013647     39.00521580
    47        0.11983872    474.80047166     0.01246471     40.83696792
    48        0.12262345    474.82681433     0.01494917     41.90474583
    49        0.12541772    474.86185798     0.01754877     42.53748023
    50        0.12820817    474.90440802     0.02022941     42.93096384
    51        0.13099480    474.95258511     0.02296418     43.19145916
    52        0.13378335    475.00421118     0.02573244     43.37519596
    53        0.13657380    475.05698875     0.02851870     43.51490985
    54        0.13936806    475.10863437     0.03131163     43.62693805
    55        0.14215851    475.15711897     0.03410319     43.71412367
    56        0.14495087    475.20092113     0.03688806     43.77554505
    57        0.14773178    475.23909770     0.03966322     43.81942133
    58        0.15052224    475.27121061     0.04242767     43.85816246
    59        0.15331269    475.29739959     0.04518198     43.89708947
    60        0.15610886    475.31868098     0.04792751     43.93930822
    61        0.15889931    475.33706479     0.05066576     43.98195711
    62        0.16168786    475.35507057     0.05339801     44.01676495
    63        0.16447449    475.37482350     0.05612540     44.04781857
    64        0.16726494    475.39733475     0.05884910     44.08815499
    65        0.17005349    475.42232438     0.06157041     44.13959663
    66        0.17285157    475.44848430     0.06429081     44.19053805
    67        0.17564011    475.47392703     0.06701174     44.23517142
    68        0.17842866    475.49666126     0.06973449     44.27820273
    69        0.18121911    475.51501891     0.07245991     44.31943006
    70        0.18401147    475.52799663     0.07518829     44.35557378
    71        0.18679619    475.53553298     0.07791939     44.38551888
    72        0.18958665    475.53875358     0.08065265     44.40976968
    73        0.19237328    475.54004984     0.08338738     44.43385601
    74        0.19517136    475.54266534     0.08612301     44.45993837
    75        0.19795418    475.54965308     0.08885931     44.48507269
    76        0.20075226    475.56264442     0.09159649     44.51193783
    77        0.20353890    475.58120982     0.09433507     44.54554009
    78        0.20633126    475.60320522     0.09707558     44.58410464
    79        0.20911027    475.62573464     0.09981826     44.62105710
    80        0.21191598    475.64600472     0.10256302     44.65061066
    81        0.21470452    475.66171635     0.10530951     44.67124061
    82        0.21748925    475.67122895     0.10805731     44.68677643
    83        0.22027588    475.67380057     0.11080586     44.70445273
    84        0.22306443    475.66975122     0.11355454     44.72842553
    85        0.22585870    475.66020369     0.11630278     44.75289064
    86        0.22864724    475.64648326     0.11905031     44.77425197
    87        0.23143578    475.62966191     0.12179730     44.79890431
    88        0.23422432    475.61053427     0.12454429     44.82543930
    89        0.23702240    475.58984100     0.12729199     44.84581427
    90        0.23981286    475.56839725     0.13004103     44.86207440
    91        0.24259949    475.54698970     0.13279167     44.88002830
    92        0.24539757    475.52614269     0.13554378     44.90075990
    93        0.24818612    475.50592271     0.13829689     44.92260673
    94        0.25097657    475.48591942     0.14105055     44.94277664
    95        0.25376511    475.46549813     0.14380458     44.96174585
    96        0.25654984    475.44431078     0.14655906     44.98227608
    97        0.25934220    475.42281749     0.14931407     45.00474028
    98        0.26212884    475.40239849     0.15206941     45.02624901
